TRACER 27459
RTT 1790328398.957 0.046
RTT 1790328399.207 0.086
RTT 1790328399.457 0.058
RTT 1790328399.707 0.048
RTT 1790328399.957 0.111
RTT 1790328400.207 0.119
RTT 1790328400.458 0.950
RTT 1790328400.708 0.107
RTT 1790328400.958 0.216
RTT 1790328401.208 0.160
RTT 1790328401.458 0.194
RTT 1790328401.709 0.330
RTT 1790328401.959 0.071
RTT 1790328402.209 0.343
RTT 1790328402.459 0.111
RTT 1790328402.709 0.076
RTT 1790328402.960 0.122
RTT 1790328403.210 0.099
RTT 1790328403.460 0.397
RTT 1790328403.710 0.293
RTT 1790328403.960 0.112
RTT 1790328404.211 0.321
RTT 1790328404.461 0.198
RTT 1790328404.712 0.392
RTT 1790328404.961 0.087
RTT 1790328405.212 0.212
RTT 1790328405.462 0.318
RTT 1790328405.712 0.212
RTT 1790328405.962 0.240
RTT 1790328406.212 0.078
RTT 1790328406.462 0.147
RTT 1790328406.713 0.224
RTT 1790328406.963 0.108
RTT 1790328407.213 0.070
RTT 1790328407.463 0.097
RTT 1790328407.713 0.094
RTT 1790328407.963 0.084
RTT 1790328408.213 0.124
RTT 1790328408.463 0.066
RTT 1790328408.713 0.157
RTT 1790328408.964 0.124
RTT 1790328409.214 0.128
RTT 1790328409.464 0.061
RTT 1790328409.714 0.142
RTT 1790328409.964 0.108
RTT 1790328410.214 0.090
RTT 1790328410.464 0.135
RTT 1790328410.714 0.046
RTT 1790328410.965 0.154
RTT 1790328411.215 0.167
RTT 1790328411.465 0.070
RTT 1790328411.715 0.101
RTT 1790328411.965 0.073
RTT 1790328412.215 0.426
RTT 1790328412.465 0.162
RTT 1790328412.716 0.091
RTT 1790328412.966 0.188
RTT 1790328413.216 0.153
RTT 1790328413.466 0.074
RTT 1790328413.716 0.201
RTT 1790328413.967 0.319
RTT 1790328414.217 0.223
RTT 1790328414.467 0.241
RTT 1790328414.717 0.197
RTT 1790328414.968 0.330
RTT 1790328415.218 0.177
RTT 1790328415.468 0.324
RTT 1790328415.718 0.348
RTT 1790328415.968 0.072
RTT 1790328416.218 0.201
RTT 1790328416.468 0.090
RTT 1790328416.719 0.291
RTT 1790328416.968 0.077
RTT 1790328417.219 0.161
RTT 1790328417.469 0.095
RTT 1790328417.719 0.096
RTT 1790328417.969 0.182
RTT 1790328418.220 0.136
RTT 1790328418.470 0.190
RTT 1790328418.720 0.338
RTT 1790328418.970 0.173
RTT 1790328419.220 0.122
RTT 1790328419.471 0.150
RTT 1790328419.721 0.106
RTT 1790328419.971 0.126
RTT 1790328420.221 0.064
RTT 1790328420.471 0.106
RTT 1790328420.721 0.097
RTT 1790328420.971 0.071
RTT 1790328421.222 0.082
RTT 1790328421.472 0.334
RTT 1790328421.722 0.187
RTT 1790328421.972 0.080
RTT 1790328422.222 0.118
RTT 1790328422.473 1.273
RTT 1790328422.724 0.120
RTT 1790328422.975 0.971
RTT 1790328423.227 0.258
RTT 1790328423.477 0.247
RTT 1790328423.731 3.328
RTT 1790328423.978 0.458
RTT 1790328424.228 0.358
RTT 1790328424.484 6.371
RTT 1790328424.729 1.114
RTT 1790328424.978 0.127
RTT 1790328425.229 0.849
RTT 1790328425.482 0.194
RTT 1790328425.732 0.108
RTT 1790328425.982 0.071
RTT 1790328426.232 0.106
RTT 1790328426.482 0.087
RTT 1790328426.732 0.067
RTT 1790328426.983 0.192
RTT 1790328427.233 0.053
RTT 1790328427.483 0.073
RTT 1790328427.733 0.137
RTT 1790328427.983 0.066
RTT 1790328428.233 0.118
RTT 1790328428.483 0.074
RTT 1790328428.734 0.198
RTT 1790328428.984 0.164
RTT 1790328429.234 0.088
RTT 1790328429.484 0.165
RTT 1790328429.734 0.081
RTT 1790328429.984 0.152
RTT 1790328430.234 0.083
RTT 1790328430.485 0.155
RTT 1790328430.735 0.523
RTT 1790328430.985 0.067
RTT 1790328431.236 0.141
RTT 1790328431.486 0.067
RTT 1790328431.736 0.077
RTT 1790328431.986 0.197
RTT 1790328432.236 0.078
RTT 1790328432.486 0.114
RTT 1790328432.736 0.072
RTT 1790328432.986 0.182
RTT 1790328433.236 0.088
RTT 1790328433.487 0.072
RTT 1790328433.737 0.097
RTT 1790328433.987 0.081
RTT 1790328434.237 0.076
RTT 1790328434.487 0.066
RTT 1790328434.737 0.110
RTT 1790328434.991 4.415
RTT 1790328435.237 0.154
RTT 1790328435.488 0.277
RTT 1790328435.738 0.080
RTT 1790328435.988 0.095
RTT 1790328436.240 1.841
RTT 1790328436.488 0.101
RTT 1790328436.738 0.073
RTT 1790328436.988 0.177
RTT 1790328437.238 0.087
RTT 1790328437.489 0.071
RTT 1790328437.744 5.436
RTT 1790328437.989 0.126
RTT 1790328438.239 0.094
RTT 1790328438.489 0.171
RTT 1790328438.739 0.124
RTT 1790328438.992 2.517
RTT 1790328439.239 0.114
RTT 1790328439.490 1.064
RTT 1790328439.740 0.177
RTT 1790328439.992 0.160
RTT 1790328440.246 4.087
RTT 1790328440.492 0.120
RTT 1790328440.743 0.305
RTT 1790328440.993 0.221
RTT 1790328441.243 0.658
RTT 1790328441.493 0.308
RTT 1790328441.743 0.298
RTT 1790328441.994 0.187
RTT 1790328442.244 0.075
RTT 1790328442.496 2.282
