TRACER 29525
RTT 1790355740.927 0.048
RTT 1790355741.178 0.210
RTT 1790355741.428 0.173
RTT 1790355741.681 3.076
RTT 1790355741.928 0.200
RTT 1790355742.178 0.072
RTT 1790355742.428 0.147
RTT 1790355742.678 0.134
RTT 1790355742.929 0.782
RTT 1790355743.179 0.123
RTT 1790355743.429 0.183
RTT 1790355743.679 0.234
RTT 1790355743.930 0.175
RTT 1790355744.180 0.291
RTT 1790355744.431 0.777
RTT 1790355744.683 0.318
RTT 1790355744.933 0.126
RTT 1790355745.183 0.348
RTT 1790355745.433 0.594
RTT 1790355745.683 0.300
RTT 1790355745.933 0.169
RTT 1790355746.184 0.189
RTT 1790355746.434 0.132
RTT 1790355746.684 0.140
RTT 1790355746.934 0.122
RTT 1790355747.184 0.134
RTT 1790355747.437 1.022
RTT 1790355747.687 0.164
RTT 1790355747.937 0.187
RTT 1790355748.187 0.291
RTT 1790355748.437 0.124
RTT 1790355748.688 0.204
RTT 1790355748.938 0.254
RTT 1790355749.189 0.323
RTT 1790355749.439 0.152
RTT 1790355749.689 0.131
RTT 1790355749.939 0.102
RTT 1790355750.190 0.204
RTT 1790355750.440 0.111
RTT 1790355750.691 0.347
RTT 1790355750.941 0.195
RTT 1790355751.191 0.157
RTT 1790355751.441 0.137
RTT 1790355751.691 0.129
RTT 1790355751.942 0.122
RTT 1790355752.192 0.165
RTT 1790355752.442 0.094
RTT 1790355752.693 0.677
RTT 1790355752.942 0.155
RTT 1790355753.197 4.713
RTT 1790355753.443 0.102
RTT 1790355753.693 0.153
RTT 1790355753.943 0.175
RTT 1790355754.193 0.138
RTT 1790355754.444 0.191
RTT 1790355754.694 0.070
RTT 1790355754.945 0.096
RTT 1790355755.195 0.152
RTT 1790355755.445 0.340
RTT 1790355755.695 0.103
RTT 1790355755.946 0.116
RTT 1790355756.196 0.217
RTT 1790355756.446 0.159
RTT 1790355756.697 0.227
RTT 1790355756.947 0.239
RTT 1790355757.197 0.441
RTT 1790355757.447 0.111
RTT 1790355757.698 0.922
RTT 1790355757.948 0.504
RTT 1790355758.198 0.258
RTT 1790355758.448 0.129
RTT 1790355758.698 0.140
RTT 1790355758.949 0.125
RTT 1790355759.199 0.351
RTT 1790355759.449 0.190
RTT 1790355759.701 1.310
RTT 1790355759.950 0.155
RTT 1790355760.200 0.227
RTT 1790355760.451 0.131
RTT 1790355760.701 0.082
RTT 1790355760.951 0.296
RTT 1790355761.201 0.309
RTT 1790355761.451 0.185
RTT 1790355761.702 0.285
RTT 1790355761.952 0.141
RTT 1790355762.202 0.187
RTT 1790355762.452 0.187
RTT 1790355762.702 0.162
RTT 1790355762.952 0.252
RTT 1790355763.203 0.297
RTT 1790355763.453 0.109
RTT 1790355763.703 0.230
RTT 1790355763.953 0.127
RTT 1790355764.204 0.322
RTT 1790355764.454 0.163
RTT 1790355764.705 0.383
RTT 1790355764.955 0.143
RTT 1790355765.205 0.330
RTT 1790355765.456 0.269
RTT 1790355765.706 0.124
RTT 1790355765.956 0.269
RTT 1790355766.206 0.215
RTT 1790355766.456 0.136
RTT 1790355766.707 0.150
RTT 1790355766.957 0.188
RTT 1790355767.207 0.206
RTT 1790355767.457 0.135
RTT 1790355767.707 0.157
RTT 1790355767.958 0.290
RTT 1790355768.208 0.174
RTT 1790355768.458 0.326
RTT 1790355768.709 0.331
RTT 1790355768.959 0.266
RTT 1790355769.209 0.186
RTT 1790355769.459 0.157
RTT 1790355769.709 0.120
RTT 1790355769.960 0.122
RTT 1790355770.210 0.218
RTT 1790355770.461 0.880
RTT 1790355770.710 0.132
RTT 1790355770.961 0.886
RTT 1790355771.211 0.131
RTT 1790355771.461 0.252
RTT 1790355771.711 0.350
RTT 1790355771.962 0.213
RTT 1790355772.212 0.303
RTT 1790355772.462 0.416
RTT 1790355772.712 0.293
RTT 1790355772.962 0.106
RTT 1790355773.213 0.146
RTT 1790355773.463 0.117
RTT 1790355773.713 0.123
RTT 1790355773.963 0.286
RTT 1790355774.213 0.159
RTT 1790355774.464 0.230
RTT 1790355774.714 0.344
RTT 1790355774.964 0.382
RTT 1790355775.214 0.088
RTT 1790355775.464 0.305
RTT 1790355775.715 0.099
RTT 1790355775.965 0.189
RTT 1790355776.215 0.474
RTT 1790355776.465 0.142
RTT 1790355776.715 0.096
RTT 1790355776.965 0.112
RTT 1790355777.216 0.156
RTT 1790355777.466 0.298
RTT 1790355777.716 0.379
RTT 1790355777.967 0.326
RTT 1790355778.217 0.393
RTT 1790355778.470 2.905
RTT 1790355778.717 0.124
RTT 1790355778.967 0.128
RTT 1790355779.218 0.137
RTT 1790355779.468 0.157
RTT 1790355779.718 0.225
RTT 1790355779.968 0.155
RTT 1790355780.219 0.295
RTT 1790355780.469 0.326
RTT 1790355780.719 0.119
RTT 1790355780.969 0.155
RTT 1790355781.221 1.760
RTT 1790355781.470 0.140
RTT 1790355781.720 0.113
RTT 1790355781.970 0.123
RTT 1790355782.220 0.199
RTT 1790355782.471 0.128
RTT 1790355782.721 0.143
RTT 1790355782.971 0.141
RTT 1790355783.221 0.268
RTT 1790355783.472 0.373
RTT 1790355783.722 0.315
RTT 1790355783.973 0.356
RTT 1790355784.223 0.159
RTT 1790355784.473 0.154
RTT 1790355784.723 0.134
RTT 1790355784.974 0.100
RTT 1790355785.224 0.333
RTT 1790355785.475 0.101
RTT 1790355785.726 0.307
RTT 1790355785.976 0.093
RTT 1790355786.226 0.341
RTT 1790355786.476 0.345
RTT 1790355786.727 0.276
RTT 1790355786.978 0.307
RTT 1790355787.228 0.173
RTT 1790355787.478 0.088
RTT 1790355787.728 0.222
RTT 1790355787.979 0.292
RTT 1790355788.229 0.167
RTT 1790355788.479 0.156
RTT 1790355788.730 0.112
RTT 1790355788.980 0.122
RTT 1790355789.230 0.351
RTT 1790355789.481 0.356
RTT 1790355789.731 0.295
RTT 1790355789.982 0.310
RTT 1790355790.232 0.104
RTT 1790355790.483 0.287
RTT 1790355790.733 0.126
RTT 1790355790.983 0.136
RTT 1790355791.233 0.135
RTT 1790355791.483 0.224
RTT 1790355791.733 0.133
RTT 1790355791.984 0.146
RTT 1790355792.234 0.189
RTT 1790355792.484 0.281
RTT 1790355792.736 0.346
RTT 1790355792.986 0.159
RTT 1790355793.237 0.270
RTT 1790355793.487 0.080
RTT 1790355793.737 0.148
RTT 1790355793.988 0.284
RTT 1790355794.238 0.205
RTT 1790355794.488 0.225
RTT 1790355794.738 0.147
RTT 1790355794.989 0.279
RTT 1790355795.239 0.667
RTT 1790355795.489 0.245
RTT 1790355795.741 0.655
RTT 1790355795.997 5.556
RTT 1790355796.242 0.683
RTT 1790355796.491 0.130
RTT 1790355796.742 0.153
RTT 1790355796.992 0.190
RTT 1790355797.243 0.971
RTT 1790355797.492 0.140
RTT 1790355797.742 0.198
RTT 1790355797.993 0.105
RTT 1790355798.244 0.368
RTT 1790355798.494 0.294
RTT 1790355798.744 0.282
RTT 1790355798.995 0.266
RTT 1790355799.245 0.120
RTT 1790355799.495 0.091
RTT 1790355799.747 2.039
RTT 1790355799.996 0.130
RTT 1790355800.247 1.279
RTT 1790355800.496 0.317
RTT 1790355800.747 0.923
RTT 1790355800.997 0.742
RTT 1790355801.246 0.126
RTT 1790355801.496 0.158
RTT 1790355801.746 0.086
RTT 1790355801.997 0.115
RTT 1790355802.247 0.055
RTT 1790355802.497 0.066
RTT 1790355802.747 0.062
RTT 1790355802.997 0.292
RTT 1790355803.247 0.063
RTT 1790355803.497 0.069
RTT 1790355803.747 0.046
RTT 1790355803.997 0.071
RTT 1790355804.248 0.068
RTT 1790355804.498 0.063
RTT 1790355804.748 0.077
RTT 1790355804.998 0.071
RTT 1790355805.248 0.056
RTT 1790355805.498 0.056
RTT 1790355805.748 0.091
RTT 1790355805.998 0.064
RTT 1790355806.248 0.042
RTT 1790355806.498 0.055
RTT 1790355806.749 0.064
RTT 1790355806.999 0.082
RTT 1790355807.249 0.054
RTT 1790355807.499 0.057
RTT 1790355807.750 0.133
RTT 1790355808.000 0.051
RTT 1790355808.250 0.061
RTT 1790355808.500 0.059
RTT 1790355808.750 0.133
RTT 1790355809.000 0.070
RTT 1790355809.251 0.055
RTT 1790355809.501 0.057
RTT 1790355809.751 0.062
RTT 1790355810.001 0.060
RTT 1790355810.251 0.077
RTT 1790355810.501 0.063
RTT 1790355810.751 0.084
RTT 1790355811.001 0.126
RTT 1790355811.251 0.049
RTT 1790355811.502 0.062
RTT 1790355811.752 0.053
RTT 1790355812.002 0.071
RTT 1790355812.252 0.053
RTT 1790355812.502 0.052
RTT 1790355812.752 0.067
RTT 1790355813.002 0.044
RTT 1790355813.252 0.104
RTT 1790355813.502 0.071
RTT 1790355813.753 0.200
RTT 1790355814.003 0.060
RTT 1790355814.253 0.043
RTT 1790355814.503 0.219
RTT 1790355814.753 0.134
RTT 1790355815.003 0.117
RTT 1790355815.253 0.123
RTT 1790355815.503 0.055
RTT 1790355815.753 0.048
RTT 1790355816.004 0.191
RTT 1790355816.254 0.362
RTT 1790355816.504 0.092
RTT 1790355816.754 0.055
RTT 1790355817.004 0.047
RTT 1790355817.254 0.063
