# mem-guard start x3=13314 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5647
1790394111.858379080 mem_available_mb=5751 swap_used_mb=5647 x3_rss_mb=230 x3_swap_mb=0
1790394112.400439705 mem_available_mb=5701 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394112.937616579 mem_available_mb=5786 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394113.480620746 mem_available_mb=5786 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394114.027553193 mem_available_mb=5787 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394114.566161318 mem_available_mb=5791 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394115.101486318 mem_available_mb=5785 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394115.644372568 mem_available_mb=5789 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394116.182234286 mem_available_mb=5788 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394116.723298505 mem_available_mb=5788 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394117.261175849 mem_available_mb=5787 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394117.806439390 mem_available_mb=5787 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394118.347085484 mem_available_mb=5787 swap_used_mb=5646 x3_rss_mb=230 x3_swap_mb=0
1790394118.887384442 mem_available_mb=5789 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394119.425422983 mem_available_mb=5791 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394119.953981889 mem_available_mb=5785 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394120.482723816 mem_available_mb=5777 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394121.015255326 mem_available_mb=5805 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394121.554995534 mem_available_mb=5804 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394122.094838086 mem_available_mb=5813 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394122.640006367 mem_available_mb=5812 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394123.165670221 mem_available_mb=5791 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394123.700551054 mem_available_mb=5789 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394124.251777304 mem_available_mb=5804 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394124.806330116 mem_available_mb=5807 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394125.352021939 mem_available_mb=5806 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394125.896150429 mem_available_mb=5805 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394126.436344751 mem_available_mb=5805 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394126.981034386 mem_available_mb=5803 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394127.515682407 mem_available_mb=5802 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394128.056895376 mem_available_mb=5803 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
1790394128.599706209 mem_available_mb=5802 swap_used_mb=5646 x3_rss_mb=221 x3_swap_mb=0
