TRACER 29525
RTT 1790356434.308 0.104
RTT 1790356434.558 0.238
RTT 1790356434.808 0.082
RTT 1790356435.058 0.128
RTT 1790356435.308 0.086
RTT 1790356435.558 0.108
RTT 1790356435.810 1.497
RTT 1790356436.059 0.160
RTT 1790356436.309 0.100
RTT 1790356436.559 0.114
RTT 1790356436.810 0.122
RTT 1790356437.060 0.116
RTT 1790356437.311 0.216
RTT 1790356437.561 0.125
RTT 1790356437.812 0.388
RTT 1790356438.062 0.145
RTT 1790356438.312 0.125
RTT 1790356438.562 0.090
RTT 1790356438.812 0.160
RTT 1790356439.062 0.103
RTT 1790356439.312 0.106
RTT 1790356439.563 0.626
RTT 1790356439.813 0.128
RTT 1790356440.063 0.282
RTT 1790356440.313 0.149
RTT 1790356440.563 0.096
RTT 1790356440.813 0.184
RTT 1790356441.064 0.082
RTT 1790356441.314 0.117
RTT 1790356441.565 0.126
RTT 1790356441.815 0.128
RTT 1790356442.065 0.116
RTT 1790356442.315 0.219
RTT 1790356442.566 0.129
RTT 1790356442.816 0.093
RTT 1790356443.067 0.122
RTT 1790356443.317 0.294
RTT 1790356443.567 0.226
RTT 1790356443.817 0.266
RTT 1790356444.068 0.368
RTT 1790356444.318 0.103
RTT 1790356444.568 0.125
RTT 1790356444.818 0.146
RTT 1790356445.069 0.343
RTT 1790356445.319 0.083
RTT 1790356445.569 0.287
RTT 1790356445.819 0.202
RTT 1790356446.069 0.168
RTT 1790356446.320 0.366
RTT 1790356446.570 0.099
RTT 1790356446.821 0.323
RTT 1790356447.071 0.318
RTT 1790356447.321 0.213
RTT 1790356447.571 0.323
RTT 1790356447.822 0.115
RTT 1790356448.073 0.921
RTT 1790356448.322 0.167
RTT 1790356448.573 0.145
RTT 1790356448.823 0.158
RTT 1790356449.073 0.126
RTT 1790356449.323 0.307
RTT 1790356449.573 0.118
RTT 1790356449.824 0.404
RTT 1790356450.074 0.197
RTT 1790356450.325 0.561
RTT 1790356450.575 0.668
RTT 1790356450.825 0.240
RTT 1790356451.075 0.137
RTT 1790356451.325 0.126
RTT 1790356451.577 2.290
RTT 1790356451.827 2.146
RTT 1790356452.075 0.134
RTT 1790356452.326 0.190
RTT 1790356452.576 0.130
RTT 1790356452.826 0.335
RTT 1790356453.077 1.019
RTT 1790356453.326 0.216
RTT 1790356453.578 1.464
RTT 1790356453.827 0.128
RTT 1790356454.077 0.132
RTT 1790356454.328 0.954
RTT 1790356454.578 0.621
RTT 1790356454.828 1.021
RTT 1790356455.078 0.543
RTT 1790356455.328 0.295
RTT 1790356455.578 0.075
RTT 1790356455.828 0.323
RTT 1790356456.078 0.087
RTT 1790356456.329 0.533
RTT 1790356456.579 0.154
RTT 1790356456.829 0.142
RTT 1790356457.079 0.114
RTT 1790356457.329 0.125
RTT 1790356457.579 0.134
RTT 1790356457.830 0.558
RTT 1790356458.081 0.135
RTT 1790356458.331 0.184
RTT 1790356458.581 0.096
RTT 1790356458.831 0.436
RTT 1790356459.082 0.204
RTT 1790356459.332 0.170
RTT 1790356459.582 0.121
RTT 1790356459.833 1.192
RTT 1790356460.083 0.126
RTT 1790356460.333 0.161
RTT 1790356460.583 0.147
RTT 1790356460.833 0.143
RTT 1790356461.084 0.391
RTT 1790356461.334 0.308
RTT 1790356461.584 0.345
RTT 1790356461.834 0.164
RTT 1790356462.085 0.269
RTT 1790356462.335 0.279
RTT 1790356462.585 0.280
RTT 1790356462.836 0.143
RTT 1790356463.086 0.340
RTT 1790356463.336 0.264
RTT 1790356463.587 0.179
RTT 1790356463.837 0.157
RTT 1790356464.087 0.140
RTT 1790356464.338 0.353
RTT 1790356464.589 0.148
RTT 1790356464.840 0.227
RTT 1790356465.090 0.331
RTT 1790356465.340 0.259
RTT 1790356465.590 0.509
RTT 1790356465.840 0.149
RTT 1790356466.091 0.123
RTT 1790356466.341 0.466
RTT 1790356466.591 0.236
RTT 1790356466.842 1.266
RTT 1790356467.091 0.140
RTT 1790356467.342 0.268
RTT 1790356467.592 0.090
RTT 1790356467.842 0.224
RTT 1790356468.092 0.186
RTT 1790356468.342 0.116
RTT 1790356468.593 0.700
RTT 1790356468.843 0.082
RTT 1790356469.093 0.155
RTT 1790356469.343 0.297
RTT 1790356469.594 0.233
RTT 1790356469.844 0.161
RTT 1790356470.094 0.190
RTT 1790356470.344 0.175
RTT 1790356470.594 0.321
RTT 1790356470.845 0.228
RTT 1790356471.095 0.219
RTT 1790356471.345 0.070
RTT 1790356471.595 0.127
RTT 1790356471.846 0.129
RTT 1790356472.096 0.099
RTT 1790356472.346 0.101
RTT 1790356472.597 0.200
RTT 1790356472.847 0.339
RTT 1790356473.097 0.183
RTT 1790356473.347 0.181
RTT 1790356473.597 0.126
RTT 1790356473.848 0.240
RTT 1790356474.098 0.122
RTT 1790356474.348 0.131
RTT 1790356474.598 0.086
RTT 1790356474.848 0.139
RTT 1790356475.099 0.124
RTT 1790356475.349 0.120
RTT 1790356475.603 4.144
RTT 1790356475.849 0.114
RTT 1790356476.099 0.284
RTT 1790356476.350 0.284
RTT 1790356476.600 0.179
RTT 1790356476.853 2.565
RTT 1790356477.100 0.182
RTT 1790356477.351 0.117
RTT 1790356477.601 0.125
RTT 1790356477.851 0.342
RTT 1790356478.102 0.133
RTT 1790356478.352 0.131
RTT 1790356478.602 0.195
RTT 1790356478.852 0.157
RTT 1790356479.103 0.113
RTT 1790356479.354 0.354
RTT 1790356479.604 0.276
RTT 1790356479.855 0.308
RTT 1790356480.105 0.285
RTT 1790356480.355 0.208
RTT 1790356480.605 0.104
RTT 1790356480.855 0.189
RTT 1790356481.106 0.279
RTT 1790356481.356 0.295
RTT 1790356481.606 0.135
RTT 1790356481.856 0.119
RTT 1790356482.106 0.170
RTT 1790356482.357 0.168
RTT 1790356482.607 0.106
RTT 1790356482.857 0.384
RTT 1790356483.107 0.145
RTT 1790356483.358 0.178
RTT 1790356483.608 0.295
RTT 1790356483.858 0.271
RTT 1790356484.108 0.294
RTT 1790356484.358 0.337
RTT 1790356484.609 0.504
RTT 1790356484.859 0.284
RTT 1790356485.109 0.285
RTT 1790356485.359 0.275
RTT 1790356485.609 0.341
RTT 1790356485.860 0.205
RTT 1790356486.110 0.177
RTT 1790356486.360 0.164
RTT 1790356486.610 0.116
RTT 1790356486.861 0.282
RTT 1790356487.111 0.143
RTT 1790356487.362 0.815
RTT 1790356487.612 0.190
RTT 1790356487.862 0.252
RTT 1790356488.112 0.128
RTT 1790356488.362 0.412
RTT 1790356488.613 0.349
RTT 1790356488.863 0.164
RTT 1790356489.114 0.104
RTT 1790356489.364 0.115
RTT 1790356489.614 0.188
RTT 1790356489.864 0.103
RTT 1790356490.115 0.122
RTT 1790356490.365 0.099
RTT 1790356490.615 0.144
RTT 1790356490.865 0.209
RTT 1790356491.115 0.133
RTT 1790356491.365 0.226
RTT 1790356491.616 0.242
RTT 1790356491.866 0.191
RTT 1790356492.116 0.124
RTT 1790356492.366 0.126
RTT 1790356492.616 0.121
RTT 1790356492.866 0.126
RTT 1790356493.117 0.148
RTT 1790356493.367 0.057
RTT 1790356493.617 0.141
RTT 1790356493.867 0.146
RTT 1790356494.117 0.211
RTT 1790356494.367 0.239
RTT 1790356494.617 0.107
RTT 1790356494.868 0.092
RTT 1790356495.118 0.068
RTT 1790356495.368 0.089
RTT 1790356495.618 0.071
RTT 1790356495.868 0.101
RTT 1790356496.118 0.059
RTT 1790356496.369 0.158
RTT 1790356496.619 0.068
RTT 1790356496.869 0.076
RTT 1790356497.119 0.072
RTT 1790356497.369 0.142
RTT 1790356497.619 0.074
RTT 1790356497.869 0.079
RTT 1790356498.120 0.124
RTT 1790356498.370 0.055
RTT 1790356498.620 0.113
RTT 1790356498.870 0.270
RTT 1790356499.120 0.216
RTT 1790356499.375 4.448
RTT 1790356499.620 0.062
RTT 1790356499.870 0.064
RTT 1790356500.121 0.158
RTT 1790356500.371 0.065
RTT 1790356500.621 0.053
RTT 1790356500.871 0.313
RTT 1790356501.121 0.066
RTT 1790356501.371 0.064
RTT 1790356501.622 0.102
RTT 1790356501.873 1.049
RTT 1790356502.122 0.094
RTT 1790356502.372 0.087
RTT 1790356502.622 0.137
RTT 1790356502.872 0.114
RTT 1790356503.122 0.117
RTT 1790356503.373 0.168
RTT 1790356503.623 0.147
RTT 1790356503.873 0.069
RTT 1790356504.123 0.069
RTT 1790356504.373 0.068
RTT 1790356504.623 0.339
RTT 1790356504.873 0.114
RTT 1790356505.123 0.120
RTT 1790356505.374 0.124
RTT 1790356505.624 0.054
RTT 1790356505.874 0.114
RTT 1790356506.124 0.146
RTT 1790356506.374 0.086
RTT 1790356506.626 2.237
RTT 1790356506.874 0.156
RTT 1790356507.125 0.136
RTT 1790356507.375 0.211
RTT 1790356507.625 0.059
RTT 1790356507.875 0.123
RTT 1790356508.125 0.120
RTT 1790356508.375 0.267
RTT 1790356508.625 0.066
RTT 1790356508.875 0.056
RTT 1790356509.126 0.117
RTT 1790356509.376 0.175
RTT 1790356509.628 0.294
RTT 1790356509.878 0.129
RTT 1790356510.128 0.060
RTT 1790356510.379 0.054
RTT 1790356510.629 0.051
RTT 1790356510.879 0.137
RTT 1790356511.129 0.087
RTT 1790356511.379 0.117
RTT 1790356511.629 0.116
RTT 1790356511.879 0.096
RTT 1790356512.130 0.124
RTT 1790356512.380 0.075
RTT 1790356512.630 0.098
RTT 1790356512.880 0.063
RTT 1790356513.131 0.518
RTT 1790356513.380 0.096
RTT 1790356513.631 0.223
RTT 1790356513.881 0.081
RTT 1790356514.131 0.075
RTT 1790356514.381 0.101
RTT 1790356514.633 0.062
RTT 1790356514.883 0.052
RTT 1790356515.133 0.068
RTT 1790356515.383 0.064
RTT 1790356515.634 0.065
RTT 1790356515.884 0.090
RTT 1790356516.134 0.072
RTT 1790356516.384 0.146
RTT 1790356516.634 0.173
RTT 1790356516.885 0.111
RTT 1790356517.135 0.336
RTT 1790356517.386 0.763
RTT 1790356517.636 0.153
RTT 1790356517.886 0.146
RTT 1790356518.136 0.131
RTT 1790356518.387 0.322
RTT 1790356518.637 0.372
RTT 1790356518.887 0.338
RTT 1790356519.137 0.168
RTT 1790356519.387 0.131
RTT 1790356519.638 0.189
RTT 1790356519.888 0.064
RTT 1790356520.138 0.132
RTT 1790356520.389 0.232
RTT 1790356520.639 0.124
RTT 1790356520.889 0.166
RTT 1790356521.139 0.166
RTT 1790356521.389 0.277
RTT 1790356521.640 0.669
RTT 1790356521.890 0.206
RTT 1790356522.140 0.101
RTT 1790356522.390 0.142
RTT 1790356522.640 0.140
RTT 1790356522.890 0.120
RTT 1790356523.141 0.119
RTT 1790356523.391 0.321
RTT 1790356523.641 0.084
RTT 1790356523.891 0.146
RTT 1790356524.141 0.183
RTT 1790356524.392 0.136
RTT 1790356524.642 0.197
RTT 1790356524.892 0.324
RTT 1790356525.142 0.141
RTT 1790356525.393 0.158
RTT 1790356525.643 0.104
RTT 1790356525.893 0.226
RTT 1790356526.143 0.105
RTT 1790356526.394 0.158
RTT 1790356526.644 0.106
RTT 1790356526.894 0.094
RTT 1790356527.144 0.100
RTT 1790356527.394 0.099
RTT 1790356527.645 0.197
RTT 1790356527.895 0.111
RTT 1790356528.145 0.132
RTT 1790356528.395 0.072
RTT 1790356528.645 0.069
RTT 1790356528.895 0.079
RTT 1790356529.145 0.087
RTT 1790356529.395 0.061
RTT 1790356529.646 0.188
RTT 1790356529.896 0.068
RTT 1790356530.146 0.122
RTT 1790356530.396 0.074
RTT 1790356530.646 0.092
RTT 1790356530.896 0.120
RTT 1790356531.146 0.077
RTT 1790356531.399 2.089
RTT 1790356531.647 0.085
RTT 1790356531.898 0.622
RTT 1790356532.147 0.097
RTT 1790356532.397 0.101
RTT 1790356532.648 0.217
RTT 1790356532.898 0.123
RTT 1790356533.148 0.059
RTT 1790356533.398 0.308
RTT 1790356533.648 0.173
RTT 1790356533.898 0.118
RTT 1790356534.148 0.143
RTT 1790356534.399 0.120
RTT 1790356534.649 0.103
RTT 1790356534.899 0.076
RTT 1790356535.149 0.101
RTT 1790356535.399 0.074
RTT 1790356535.649 0.076
RTT 1790356535.900 0.098
RTT 1790356536.150 0.077
RTT 1790356536.401 0.103
RTT 1790356536.651 0.093
RTT 1790356536.902 0.988
RTT 1790356537.151 0.077
RTT 1790356537.401 0.052
RTT 1790356537.651 0.063
RTT 1790356537.901 0.078
RTT 1790356538.151 0.094
RTT 1790356538.401 0.085
RTT 1790356538.651 0.077
RTT 1790356538.902 0.051
RTT 1790356539.152 0.787
RTT 1790356539.402 0.212
RTT 1790356539.652 0.090
RTT 1790356539.902 0.077
RTT 1790356540.152 0.067
RTT 1790356540.403 0.061
RTT 1790356540.653 0.062
RTT 1790356540.903 0.078
RTT 1790356541.153 0.147
RTT 1790356541.403 0.083
RTT 1790356541.653 0.070
RTT 1790356541.903 0.119
RTT 1790356542.153 0.053
RTT 1790356542.404 0.102
RTT 1790356542.654 0.085
RTT 1790356542.904 0.070
RTT 1790356543.154 0.180
RTT 1790356543.404 0.060
RTT 1790356543.654 0.060
RTT 1790356543.904 0.067
RTT 1790356544.154 0.062
RTT 1790356544.405 0.290
RTT 1790356544.655 0.112
RTT 1790356544.905 0.067
RTT 1790356545.155 0.218
RTT 1790356545.405 0.119
RTT 1790356545.656 0.139
RTT 1790356545.906 0.097
RTT 1790356546.156 0.148
RTT 1790356546.406 0.074
RTT 1790356546.656 0.101
RTT 1790356546.906 0.079
RTT 1790356547.156 0.149
RTT 1790356547.406 0.103
RTT 1790356547.656 0.061
RTT 1790356547.907 0.072
RTT 1790356548.157 0.089
RTT 1790356548.407 0.119
RTT 1790356548.657 0.097
RTT 1790356548.907 0.118
RTT 1790356549.157 0.178
RTT 1790356549.407 0.109
RTT 1790356549.658 0.083
RTT 1790356549.908 0.098
RTT 1790356550.158 0.073
RTT 1790356550.408 0.101
RTT 1790356550.658 0.067
RTT 1790356550.908 0.317
RTT 1790356551.158 0.071
RTT 1790356551.409 0.796
RTT 1790356551.659 0.153
RTT 1790356551.909 0.077
RTT 1790356552.159 0.177
RTT 1790356552.409 0.093
RTT 1790356552.660 0.101
RTT 1790356552.910 0.075
RTT 1790356553.160 0.078
RTT 1790356553.410 0.095
RTT 1790356553.660 0.103
RTT 1790356553.910 0.140
RTT 1790356554.161 0.138
RTT 1790356554.411 0.082
RTT 1790356554.661 0.129
RTT 1790356554.911 0.106
RTT 1790356555.161 0.106
RTT 1790356555.412 0.444
RTT 1790356555.662 0.136
RTT 1790356555.912 0.115
RTT 1790356556.162 0.107
RTT 1790356556.412 0.157
RTT 1790356556.662 0.151
RTT 1790356556.912 0.138
RTT 1790356557.163 0.239
RTT 1790356557.413 0.263
RTT 1790356557.663 0.187
RTT 1790356557.913 0.171
RTT 1790356558.164 0.138
RTT 1790356558.414 0.163
RTT 1790356558.664 0.116
RTT 1790356558.914 0.104
RTT 1790356559.166 0.999
RTT 1790356559.415 0.070
RTT 1790356559.665 0.080
RTT 1790356559.915 0.090
RTT 1790356560.167 0.101
RTT 1790356560.417 0.128
RTT 1790356560.667 0.107
RTT 1790356560.917 0.121
RTT 1790356561.167 0.132
RTT 1790356561.418 0.209
RTT 1790356561.668 0.138
RTT 1790356561.918 0.271
RTT 1790356562.169 0.257
RTT 1790356562.419 0.207
RTT 1790356562.669 0.104
RTT 1790356562.919 0.136
RTT 1790356563.169 0.085
RTT 1790356563.419 0.092
RTT 1790356563.670 0.132
RTT 1790356563.920 0.155
RTT 1790356564.170 0.117
RTT 1790356564.421 0.947
RTT 1790356564.670 0.178
RTT 1790356564.920 0.103
RTT 1790356565.171 0.168
RTT 1790356565.421 0.234
RTT 1790356565.671 0.148
RTT 1790356565.921 0.105
RTT 1790356566.171 0.088
RTT 1790356566.422 0.179
RTT 1790356566.672 0.104
RTT 1790356566.922 0.108
RTT 1790356567.172 0.077
RTT 1790356567.422 0.136
RTT 1790356567.672 0.321
RTT 1790356567.922 0.098
RTT 1790356568.173 0.155
RTT 1790356568.423 0.135
RTT 1790356568.673 0.093
RTT 1790356568.923 0.150
RTT 1790356569.173 0.107
RTT 1790356569.424 0.200
RTT 1790356569.674 0.213
RTT 1790356569.925 0.347
RTT 1790356570.175 0.123
RTT 1790356570.425 0.158
RTT 1790356570.675 0.150
RTT 1790356570.925 0.131
RTT 1790356571.175 0.058
RTT 1790356571.426 0.372
RTT 1790356571.675 0.169
RTT 1790356571.926 0.395
