TRACER 29525
RTT 1790356833.934 0.339
RTT 1790356834.184 0.135
RTT 1790356834.434 0.122
RTT 1790356834.685 0.400
RTT 1790356834.935 0.169
RTT 1790356835.185 0.159
RTT 1790356835.435 0.276
RTT 1790356835.686 0.309
RTT 1790356835.936 0.174
RTT 1790356836.186 0.257
RTT 1790356836.436 0.312
RTT 1790356836.687 0.357
RTT 1790356836.937 0.345
RTT 1790356837.187 0.154
RTT 1790356837.437 0.124
RTT 1790356837.688 0.137
RTT 1790356837.938 0.340
RTT 1790356838.188 0.301
RTT 1790356838.439 0.152
RTT 1790356838.689 0.155
RTT 1790356838.939 0.162
RTT 1790356839.189 0.162
RTT 1790356839.439 0.156
RTT 1790356839.690 0.326
RTT 1790356839.940 0.215
RTT 1790356840.190 0.144
RTT 1790356840.440 0.163
RTT 1790356840.690 0.145
RTT 1790356840.941 0.137
RTT 1790356841.191 0.084
RTT 1790356841.441 0.143
RTT 1790356841.691 0.212
RTT 1790356841.941 0.282
RTT 1790356842.192 0.124
RTT 1790356842.442 0.079
RTT 1790356842.693 0.125
RTT 1790356842.943 0.127
RTT 1790356843.193 0.096
RTT 1790356843.443 0.232
RTT 1790356843.693 0.092
RTT 1790356843.943 0.085
RTT 1790356844.194 0.428
RTT 1790356844.444 0.077
RTT 1790356844.694 0.097
RTT 1790356844.944 0.251
RTT 1790356845.194 0.083
RTT 1790356845.444 0.077
RTT 1790356845.694 0.089
RTT 1790356845.944 0.077
RTT 1790356846.195 0.076
RTT 1790356846.445 0.054
RTT 1790356846.695 0.115
RTT 1790356846.945 0.059
RTT 1790356847.195 0.111
RTT 1790356847.446 0.229
RTT 1790356847.695 0.078
RTT 1790356847.946 0.047
RTT 1790356848.196 0.071
RTT 1790356848.446 0.093
RTT 1790356848.696 0.089
RTT 1790356848.946 0.049
RTT 1790356849.198 0.054
RTT 1790356849.448 0.197
RTT 1790356849.698 0.076
RTT 1790356849.948 0.134
RTT 1790356850.198 0.054
RTT 1790356850.448 0.134
RTT 1790356850.698 0.077
RTT 1790356850.948 0.074
RTT 1790356851.198 0.083
RTT 1790356851.449 0.142
RTT 1790356851.699 0.108
RTT 1790356851.949 0.133
RTT 1790356852.199 0.062
RTT 1790356852.449 0.239
RTT 1790356852.699 0.089
RTT 1790356852.949 0.092
RTT 1790356853.199 0.052
RTT 1790356853.450 0.148
RTT 1790356853.700 0.337
RTT 1790356853.953 0.072
RTT 1790356854.203 0.127
RTT 1790356854.453 0.068
RTT 1790356854.703 0.071
RTT 1790356854.953 0.076
RTT 1790356855.203 0.107
RTT 1790356855.454 0.109
RTT 1790356855.704 0.095
RTT 1790356855.954 0.053
RTT 1790356856.204 0.067
RTT 1790356856.454 0.088
RTT 1790356856.704 0.488
RTT 1790356856.954 0.070
RTT 1790356857.204 0.087
RTT 1790356857.454 0.077
RTT 1790356857.704 0.055
RTT 1790356857.955 0.070
RTT 1790356858.205 0.063
RTT 1790356858.455 0.063
RTT 1790356858.706 0.654
RTT 1790356858.955 0.056
RTT 1790356859.206 0.078
RTT 1790356859.456 0.100
RTT 1790356859.706 0.055
RTT 1790356859.956 0.066
RTT 1790356860.206 0.068
RTT 1790356860.460 0.107
RTT 1790356860.710 0.068
RTT 1790356860.960 0.068
RTT 1790356861.210 0.052
RTT 1790356861.461 0.095
RTT 1790356861.713 1.158
RTT 1790356861.962 0.076
RTT 1790356862.212 0.153
RTT 1790356862.462 0.095
RTT 1790356862.712 0.069
RTT 1790356862.962 0.064
RTT 1790356863.213 0.087
RTT 1790356863.463 0.068
RTT 1790356863.713 0.066
RTT 1790356863.963 0.073
RTT 1790356864.213 0.059
RTT 1790356864.463 0.054
