# mem-guard start x3=29916 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=5414
1790360625.975402062 mem_available_mb=5228 swap_used_mb=5414 x3_rss_mb=179 x3_swap_mb=0
1790360626.499842478 mem_available_mb=5136 swap_used_mb=5291 x3_rss_mb=230 x3_swap_mb=0
1790360627.024777687 mem_available_mb=5224 swap_used_mb=5291 x3_rss_mb=230 x3_swap_mb=0
1790360627.549991540 mem_available_mb=5236 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360628.075506592 mem_available_mb=5231 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360628.599497998 mem_available_mb=5232 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360629.120246436 mem_available_mb=5230 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360629.641834040 mem_available_mb=5223 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360630.166451435 mem_available_mb=5221 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360630.700840029 mem_available_mb=5217 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360631.222411591 mem_available_mb=5214 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360631.742500185 mem_available_mb=5201 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360632.271628049 mem_available_mb=5198 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360632.803868309 mem_available_mb=5196 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360633.343153465 mem_available_mb=5182 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360633.876843048 mem_available_mb=5185 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360634.407109715 mem_available_mb=5191 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360634.928882423 mem_available_mb=5173 swap_used_mb=5291 x3_rss_mb=222 x3_swap_mb=0
1790360635.459695340 mem_available_mb=5166 swap_used_mb=5291 x3_rss_mb=224 x3_swap_mb=0
1790360635.986937787 mem_available_mb=5145 swap_used_mb=5291 x3_rss_mb=226 x3_swap_mb=0
1790360636.542361797 mem_available_mb=5100 swap_used_mb=5291 x3_rss_mb=226 x3_swap_mb=0
1790360637.070446276 mem_available_mb=5060 swap_used_mb=5291 x3_rss_mb=226 x3_swap_mb=0
1790360637.598688985 mem_available_mb=5067 swap_used_mb=5291 x3_rss_mb=227 x3_swap_mb=0
1790360638.126596224 mem_available_mb=5076 swap_used_mb=5293 x3_rss_mb=238 x3_swap_mb=0
1790360638.653636536 mem_available_mb=5085 swap_used_mb=5293 x3_rss_mb=238 x3_swap_mb=0
1790360639.178728099 mem_available_mb=5094 swap_used_mb=5293 x3_rss_mb=238 x3_swap_mb=0
1790360639.701585494 mem_available_mb=5092 swap_used_mb=5293 x3_rss_mb=238 x3_swap_mb=0
1790360640.236592942 mem_available_mb=5089 swap_used_mb=5293 x3_rss_mb=238 x3_swap_mb=0
1790360640.768882785 mem_available_mb=5079 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360641.295435910 mem_available_mb=5079 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360641.822153514 mem_available_mb=5077 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360642.355209191 mem_available_mb=5077 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360642.877657420 mem_available_mb=5073 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360643.406636170 mem_available_mb=5075 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360643.931050961 mem_available_mb=5075 swap_used_mb=5292 x3_rss_mb=238 x3_swap_mb=0
1790360644.455104451 mem_available_mb=5076 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360644.982815596 mem_available_mb=5071 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360645.502229398 mem_available_mb=5075 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360646.031872992 mem_available_mb=5083 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360646.563456481 mem_available_mb=5083 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360647.089646741 mem_available_mb=5077 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360647.615035491 mem_available_mb=5077 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360648.142702887 mem_available_mb=5084 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360648.668975439 mem_available_mb=5084 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360649.198693251 mem_available_mb=5083 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360649.727749709 mem_available_mb=5077 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360650.253760386 mem_available_mb=5079 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360650.782941167 mem_available_mb=5081 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360651.311200698 mem_available_mb=5079 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360651.839511010 mem_available_mb=5067 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360652.360316531 mem_available_mb=5069 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360652.887482208 mem_available_mb=5079 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360653.412787051 mem_available_mb=5076 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360653.937317885 mem_available_mb=5072 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360654.459404186 mem_available_mb=5080 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360654.988883874 mem_available_mb=5082 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360655.516251842 mem_available_mb=5082 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360656.048482207 mem_available_mb=5078 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360656.574682675 mem_available_mb=5078 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360657.111688717 mem_available_mb=5078 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360657.651351529 mem_available_mb=5076 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360658.186274445 mem_available_mb=5080 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360658.717944445 mem_available_mb=5082 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360659.246184810 mem_available_mb=5082 swap_used_mb=5289 x3_rss_mb=238 x3_swap_mb=0
1790360659.780094445 mem_available_mb=5082 swap_used_mb=5289 x3_rss_mb=243 x3_swap_mb=0
1790360660.308910643 mem_available_mb=5078 swap_used_mb=5289 x3_rss_mb=243 x3_swap_mb=0
