# mem-guard start x3=22303 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=6215
1790359841.665317778 mem_available_mb=4911 swap_used_mb=6215 x3_rss_mb=95 x3_swap_mb=0
1790359842.189337673 mem_available_mb=4794 swap_used_mb=5891 x3_rss_mb=222 x3_swap_mb=0
1790359842.712405382 mem_available_mb=4820 swap_used_mb=5891 x3_rss_mb=222 x3_swap_mb=0
1790359843.240112673 mem_available_mb=4825 swap_used_mb=5891 x3_rss_mb=222 x3_swap_mb=0
1790359843.767823350 mem_available_mb=4841 swap_used_mb=5891 x3_rss_mb=222 x3_swap_mb=0
1790359844.294490433 mem_available_mb=4835 swap_used_mb=5891 x3_rss_mb=222 x3_swap_mb=0
1790359844.817329027 mem_available_mb=4832 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359845.338849287 mem_available_mb=4810 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359845.861644391 mem_available_mb=4806 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359846.393541161 mem_available_mb=4810 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359846.922624599 mem_available_mb=4812 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359847.453777619 mem_available_mb=4808 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359847.976241682 mem_available_mb=4804 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359848.510866994 mem_available_mb=4786 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359849.047969442 mem_available_mb=4776 swap_used_mb=5891 x3_rss_mb=213 x3_swap_mb=0
1790359849.590870379 mem_available_mb=4786 swap_used_mb=5885 x3_rss_mb=213 x3_swap_mb=0
1790359850.117366264 mem_available_mb=4785 swap_used_mb=5885 x3_rss_mb=213 x3_swap_mb=0
1790359850.648081316 mem_available_mb=4985 swap_used_mb=5885 x3_rss_mb=214 x3_swap_mb=0
1790359851.178160430 mem_available_mb=4965 swap_used_mb=5885 x3_rss_mb=216 x3_swap_mb=0
1790359851.706782409 mem_available_mb=4912 swap_used_mb=5885 x3_rss_mb=218 x3_swap_mb=0
1790359852.227543815 mem_available_mb=4892 swap_used_mb=5885 x3_rss_mb=218 x3_swap_mb=0
1790359852.772495378 mem_available_mb=4867 swap_used_mb=5885 x3_rss_mb=218 x3_swap_mb=0
1790359853.314203294 mem_available_mb=4873 swap_used_mb=5885 x3_rss_mb=219 x3_swap_mb=0
1790359853.839587304 mem_available_mb=4862 swap_used_mb=5902 x3_rss_mb=241 x3_swap_mb=0
1790359854.368213294 mem_available_mb=4950 swap_used_mb=5908 x3_rss_mb=230 x3_swap_mb=0
1790359854.895999648 mem_available_mb=4949 swap_used_mb=5908 x3_rss_mb=230 x3_swap_mb=0
1790359855.433578450 mem_available_mb=4949 swap_used_mb=5907 x3_rss_mb=230 x3_swap_mb=0
1790359855.959962616 mem_available_mb=4943 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359856.482267668 mem_available_mb=4943 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359857.007254855 mem_available_mb=4925 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359857.533913084 mem_available_mb=4906 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359858.060753969 mem_available_mb=4893 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359858.591679490 mem_available_mb=4899 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359859.119512198 mem_available_mb=4903 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359859.641691521 mem_available_mb=4902 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359860.177357614 mem_available_mb=4904 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359860.702733083 mem_available_mb=4896 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359861.232555843 mem_available_mb=4890 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359861.764422353 mem_available_mb=4890 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359862.301519593 mem_available_mb=4889 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359862.826154853 mem_available_mb=4892 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359863.350413186 mem_available_mb=4890 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359863.878692248 mem_available_mb=4889 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359864.401586207 mem_available_mb=4884 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359864.932284331 mem_available_mb=4879 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359865.464080790 mem_available_mb=4880 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359865.989995008 mem_available_mb=4892 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359866.519133810 mem_available_mb=4887 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359867.046025997 mem_available_mb=4876 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359867.570006310 mem_available_mb=4884 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359868.096427768 mem_available_mb=4892 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359868.619001257 mem_available_mb=4891 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359869.154817871 mem_available_mb=4892 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359869.682249017 mem_available_mb=4888 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359870.208877715 mem_available_mb=4894 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359870.733047663 mem_available_mb=4895 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359871.255840839 mem_available_mb=4894 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359871.777784798 mem_available_mb=4890 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359872.297765214 mem_available_mb=4889 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359872.828048703 mem_available_mb=4887 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359873.366985891 mem_available_mb=4876 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359873.897953443 mem_available_mb=4887 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359874.421380942 mem_available_mb=4891 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359874.960106463 mem_available_mb=4918 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359875.495812869 mem_available_mb=4917 swap_used_mb=5906 x3_rss_mb=230 x3_swap_mb=0
1790359876.030214275 mem_available_mb=4918 swap_used_mb=5906 x3_rss_mb=235 x3_swap_mb=0
1790359876.555329067 mem_available_mb=4915 swap_used_mb=5906 x3_rss_mb=235 x3_swap_mb=0
1790359877.084356983 mem_available_mb=4869 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359877.620851306 mem_available_mb=4864 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359878.154348962 mem_available_mb=4858 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359878.682903909 mem_available_mb=4856 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359879.214306878 mem_available_mb=4854 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359879.740146149 mem_available_mb=4852 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359880.274129534 mem_available_mb=4849 swap_used_mb=5895 x3_rss_mb=234 x3_swap_mb=0
1790359880.809759430 mem_available_mb=4831 swap_used_mb=5895 x3_rss_mb=238 x3_swap_mb=0
1790359881.334738961 mem_available_mb=4822 swap_used_mb=5895 x3_rss_mb=238 x3_swap_mb=0
1790359881.861785471 mem_available_mb=4820 swap_used_mb=5895 x3_rss_mb=237 x3_swap_mb=0
1790359882.388806148 mem_available_mb=4824 swap_used_mb=5895 x3_rss_mb=237 x3_swap_mb=0
1790359882.919915314 mem_available_mb=4821 swap_used_mb=5895 x3_rss_mb=236 x3_swap_mb=0
1790359883.445383491 mem_available_mb=4819 swap_used_mb=5895 x3_rss_mb=236 x3_swap_mb=0
1790359883.968985001 mem_available_mb=4818 swap_used_mb=5895 x3_rss_mb=236 x3_swap_mb=0
1790359884.494220991 mem_available_mb=4816 swap_used_mb=5895 x3_rss_mb=236 x3_swap_mb=0
1790359885.019977657 mem_available_mb=4820 swap_used_mb=5895 x3_rss_mb=237 x3_swap_mb=0
1790359885.548376303 mem_available_mb=4806 swap_used_mb=5895 x3_rss_mb=239 x3_swap_mb=0
1790359886.069064428 mem_available_mb=4808 swap_used_mb=5895 x3_rss_mb=241 x3_swap_mb=0
1790359886.593840677 mem_available_mb=4804 swap_used_mb=5895 x3_rss_mb=240 x3_swap_mb=0
1790359887.125403177 mem_available_mb=4805 swap_used_mb=5895 x3_rss_mb=240 x3_swap_mb=0
1790359887.647428958 mem_available_mb=4817 swap_used_mb=5895 x3_rss_mb=240 x3_swap_mb=0
1790359888.179435573 mem_available_mb=4815 swap_used_mb=5895 x3_rss_mb=240 x3_swap_mb=0
1790359888.708948177 mem_available_mb=4814 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359889.246823228 mem_available_mb=4804 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359889.778165624 mem_available_mb=4830 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359890.304253853 mem_available_mb=4825 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359890.831361301 mem_available_mb=4824 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359891.364333853 mem_available_mb=4825 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359891.892783800 mem_available_mb=4827 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359892.425867811 mem_available_mb=4830 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359892.964120831 mem_available_mb=4829 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359893.502389164 mem_available_mb=4830 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359894.028796768 mem_available_mb=4828 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359894.555670726 mem_available_mb=4823 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359895.078847028 mem_available_mb=4827 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359895.606320205 mem_available_mb=4829 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359896.131404736 mem_available_mb=4826 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359896.670174267 mem_available_mb=4818 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359897.198035465 mem_available_mb=4816 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359897.725029267 mem_available_mb=4821 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359898.261041767 mem_available_mb=4818 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359898.796270621 mem_available_mb=4815 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359899.320098537 mem_available_mb=4823 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359899.846563381 mem_available_mb=4826 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359900.373166766 mem_available_mb=4826 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359900.903634682 mem_available_mb=4826 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359901.424128901 mem_available_mb=4823 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359901.960314317 mem_available_mb=4823 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359902.482585098 mem_available_mb=4821 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359903.022392181 mem_available_mb=4826 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359903.548008275 mem_available_mb=4827 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359904.074791556 mem_available_mb=4834 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359904.596122077 mem_available_mb=4832 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359905.121044056 mem_available_mb=4828 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359905.654239003 mem_available_mb=4825 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359906.183731868 mem_available_mb=4820 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359906.704612493 mem_available_mb=4818 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359907.226661451 mem_available_mb=4816 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359907.766725513 mem_available_mb=4821 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359908.302881607 mem_available_mb=4815 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359908.832055877 mem_available_mb=4813 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359909.357474367 mem_available_mb=4825 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359909.887824366 mem_available_mb=4828 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359910.407656554 mem_available_mb=4815 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359910.948274731 mem_available_mb=4815 swap_used_mb=5900 x3_rss_mb=241 x3_swap_mb=0
1790359911.477583584 mem_available_mb=4813 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359912.005846136 mem_available_mb=4820 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
1790359912.537642438 mem_available_mb=4822 swap_used_mb=5900 x3_rss_mb=242 x3_swap_mb=0
