# mem-guard start x3=27182 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=4076
1790246440.063498693 mem_available_mb=5065 swap_used_mb=4076 x3_rss_mb=153 x3_swap_mb=0
1790246440.599352808 mem_available_mb=5467 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246441.140048120 mem_available_mb=5555 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246441.682667130 mem_available_mb=5562 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246442.208933536 mem_available_mb=5519 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246442.741433692 mem_available_mb=5536 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246443.283682494 mem_available_mb=5530 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246443.831348796 mem_available_mb=5546 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246444.368466244 mem_available_mb=5539 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246444.913675723 mem_available_mb=5538 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246445.451471868 mem_available_mb=5536 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246445.994281087 mem_available_mb=5507 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246446.522323430 mem_available_mb=5505 swap_used_mb=4066 x3_rss_mb=226 x3_swap_mb=0
1790246447.054857545 mem_available_mb=5499 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246447.580026451 mem_available_mb=5526 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246448.103710201 mem_available_mb=5534 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246448.654785461 mem_available_mb=5535 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246449.194094106 mem_available_mb=5542 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246449.730754523 mem_available_mb=5541 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246450.264496606 mem_available_mb=5530 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246450.809888585 mem_available_mb=5528 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246451.358449262 mem_available_mb=5527 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246451.900747126 mem_available_mb=5606 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246452.445536553 mem_available_mb=5604 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246452.992058845 mem_available_mb=5609 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246453.539632074 mem_available_mb=5609 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246454.088977230 mem_available_mb=5586 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246454.642916969 mem_available_mb=5585 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246455.210867906 mem_available_mb=5583 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246455.771686187 mem_available_mb=5583 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246456.333452073 mem_available_mb=5579 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246456.895510510 mem_available_mb=5578 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246457.457521499 mem_available_mb=5578 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246458.023388270 mem_available_mb=5600 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246458.586769988 mem_available_mb=5600 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246459.137751082 mem_available_mb=5599 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246459.695960925 mem_available_mb=5599 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
1790246460.264267227 mem_available_mb=5605 swap_used_mb=4065 x3_rss_mb=217 x3_swap_mb=0
