TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
TRACER 29525
RTT 1790359843.550 0.035
RTT 1790359843.800 0.131
RTT 1790359844.050 0.057
RTT 1790359844.300 0.098
RTT 1790359844.551 0.221
RTT 1790359844.801 0.098
RTT 1790359845.051 0.066
RTT 1790359845.301 0.151
RTT 1790359845.551 0.366
RTT 1790359845.802 0.252
RTT 1790359846.052 0.092
RTT 1790359846.302 0.105
RTT 1790359846.552 0.208
RTT 1790359846.802 0.170
RTT 1790359847.052 0.162
RTT 1790359847.302 0.082
RTT 1790359847.552 0.153
RTT 1790359847.803 0.447
RTT 1790359848.053 0.199
RTT 1790359848.303 0.130
RTT 1790359848.553 0.059
RTT 1790359848.803 0.083
RTT 1790359849.053 0.145
RTT 1790359849.303 0.065
RTT 1790359849.554 0.134
RTT 1790359849.804 0.083
RTT 1790359850.054 0.116
RTT 1790359850.304 0.068
RTT 1790359850.554 0.057
RTT 1790359850.804 0.077
RTT 1790359851.054 0.097
RTT 1790359851.306 2.253
RTT 1790359851.554 0.055
RTT 1790359851.813 8.758
RTT 1790359852.054 0.080
RTT 1790359852.305 0.106
RTT 1790359852.555 0.097
RTT 1790359852.805 0.118
RTT 1790359853.055 0.062
RTT 1790359853.305 0.135
RTT 1790359853.555 0.143
RTT 1790359853.809 4.346
RTT 1790359854.057 0.073
RTT 1790359854.308 0.423
RTT 1790359854.558 0.174
RTT 1790359854.808 0.151
RTT 1790359855.058 0.137
RTT 1790359855.308 0.320
RTT 1790359855.558 0.079
RTT 1790359855.809 0.103
RTT 1790359856.059 0.177
RTT 1790359856.309 0.341
RTT 1790359856.559 0.192
RTT 1790359856.809 0.069
RTT 1790359857.059 0.083
RTT 1790359857.310 0.230
RTT 1790359857.560 0.194
RTT 1790359857.810 0.071
RTT 1790359858.060 0.092
RTT 1790359858.310 0.329
RTT 1790359858.560 0.175
RTT 1790359858.810 0.093
RTT 1790359859.061 0.325
RTT 1790359859.311 0.337
RTT 1790359859.561 0.185
RTT 1790359859.811 0.183
RTT 1790359860.061 0.090
RTT 1790359860.312 0.341
RTT 1790359860.562 0.067
RTT 1790359860.812 0.078
RTT 1790359861.062 0.357
RTT 1790359861.312 0.091
RTT 1790359861.562 0.143
RTT 1790359861.814 0.652
RTT 1790359862.063 0.086
RTT 1790359862.313 0.141
RTT 1790359862.563 0.100
RTT 1790359862.813 0.077
RTT 1790359863.064 0.121
RTT 1790359863.314 0.156
RTT 1790359863.564 0.199
RTT 1790359863.814 0.311
RTT 1790359864.064 0.105
RTT 1790359864.315 0.357
RTT 1790359864.565 0.262
RTT 1790359864.815 0.363
RTT 1790359865.065 0.259
RTT 1790359865.316 0.392
RTT 1790359865.566 0.083
RTT 1790359865.816 0.096
RTT 1790359866.066 0.314
RTT 1790359866.316 0.306
RTT 1790359866.566 0.076
RTT 1790359866.816 0.144
RTT 1790359867.067 0.070
RTT 1790359867.317 0.320
RTT 1790359867.567 0.115
RTT 1790359867.817 0.054
