TRACER 0
RTT 1790361924.229 0.029
RTT 1790361924.479 0.167
RTT 1790361924.729 0.064
RTT 1790361924.980 0.167
RTT 1790361925.230 0.338
RTT 1790361925.480 0.279
RTT 1790361925.730 0.181
RTT 1790361925.980 0.144
RTT 1790361926.231 0.171
RTT 1790361926.481 0.193
RTT 1790361926.731 0.221
RTT 1790361926.981 0.073
RTT 1790361927.231 0.191
RTT 1790361927.482 0.142
RTT 1790361927.732 0.362
RTT 1790361927.982 0.070
RTT 1790361928.232 0.137
RTT 1790361928.482 0.219
RTT 1790361928.733 0.242
RTT 1790361928.983 0.353
RTT 1790361929.233 0.248
RTT 1790361929.483 0.174
RTT 1790361929.734 0.198
RTT 1790361929.983 0.076
RTT 1790361930.234 0.103
RTT 1790361930.484 0.083
RTT 1790361930.734 0.089
RTT 1790361930.999 0.129
RTT 1790361931.250 0.068
RTT 1790361931.500 0.095
RTT 1790361931.750 0.138
RTT 1790361932.000 0.173
RTT 1790361932.250 0.114
RTT 1790361932.500 0.046
RTT 1790361932.750 0.054
RTT 1790361933.000 0.085
RTT 1790361933.251 0.042
RTT 1790361933.501 0.088
RTT 1790361933.751 0.073
RTT 1790361934.001 0.295
RTT 1790361934.251 0.075
RTT 1790361934.501 0.103
RTT 1790361934.754 2.728
RTT 1790361935.001 0.076
RTT 1790361935.252 0.267
RTT 1790361935.502 0.122
RTT 1790361935.752 0.291
RTT 1790361936.002 0.341
RTT 1790361936.253 0.312
RTT 1790361936.503 0.401
RTT 1790361936.753 0.309
RTT 1790361937.003 0.067
RTT 1790361937.253 0.074
RTT 1790361937.503 0.176
RTT 1790361937.753 0.352
RTT 1790361938.004 0.189
RTT 1790361938.254 0.096
RTT 1790361938.504 0.192
RTT 1790361938.754 0.200
RTT 1790361939.005 0.325
RTT 1790361939.254 0.099
RTT 1790361939.505 0.067
RTT 1790361939.755 0.226
RTT 1790361940.005 0.640
RTT 1790361940.255 0.151
RTT 1790361940.505 0.178
RTT 1790361940.755 0.195
RTT 1790361941.005 0.095
RTT 1790361941.255 0.065
RTT 1790361941.507 1.250
RTT 1790361941.756 0.124
RTT 1790361942.006 0.193
RTT 1790361942.256 0.255
RTT 1790361942.506 0.146
RTT 1790361942.757 0.381
RTT 1790361943.007 0.369
RTT 1790361943.257 0.165
RTT 1790361943.507 0.071
RTT 1790361943.757 0.068
RTT 1790361944.008 0.175
RTT 1790361944.258 0.236
RTT 1790361944.508 0.259
RTT 1790361944.758 0.179
RTT 1790361945.009 0.103
RTT 1790361945.259 0.224
RTT 1790361945.509 0.327
RTT 1790361945.760 0.229
RTT 1790361946.010 0.071
RTT 1790361946.260 0.077
RTT 1790361946.510 0.073
RTT 1790361946.760 0.256
RTT 1790361947.010 0.159
RTT 1790361947.261 0.324
RTT 1790361947.511 0.364
RTT 1790361947.761 0.205
RTT 1790361948.011 0.245
RTT 1790361948.262 0.368
RTT 1790361948.512 0.297
RTT 1790361948.762 0.205
RTT 1790361949.012 0.175
RTT 1790361949.262 0.203
RTT 1790361949.512 0.172
RTT 1790361949.762 0.091
RTT 1790361950.013 0.185
RTT 1790361950.263 0.119
RTT 1790361950.513 0.282
RTT 1790361950.763 0.103
RTT 1790361951.013 0.208
RTT 1790361951.263 0.166
RTT 1790361951.514 0.218
RTT 1790361951.764 0.334
RTT 1790361952.015 0.363
RTT 1790361952.265 0.441
RTT 1790361952.515 0.087
RTT 1790361952.765 0.108
RTT 1790361953.015 0.074
RTT 1790361953.265 0.228
RTT 1790361953.515 0.259
RTT 1790361953.765 0.109
RTT 1790361954.015 0.061
RTT 1790361954.266 0.220
RTT 1790361954.516 0.328
RTT 1790361954.766 0.160
RTT 1790361955.016 0.172
RTT 1790361955.266 0.092
RTT 1790361955.516 0.136
RTT 1790361955.767 0.100
RTT 1790361956.017 0.073
RTT 1790361956.267 0.060
RTT 1790361956.517 0.134
RTT 1790361956.767 0.322
RTT 1790361957.017 0.357
RTT 1790361957.267 0.107
RTT 1790361957.518 0.101
RTT 1790361957.768 0.066
RTT 1790361958.018 0.357
RTT 1790361958.268 0.105
RTT 1790361958.523 4.744
RTT 1790361958.769 0.211
RTT 1790361959.019 0.336
RTT 1790361959.269 0.100
RTT 1790361959.519 0.065
RTT 1790361959.769 0.189
RTT 1790361960.020 0.147
RTT 1790361960.270 0.175
RTT 1790361960.520 0.082
RTT 1790361960.770 0.312
RTT 1790361961.021 0.297
RTT 1790361961.271 0.133
RTT 1790361961.521 0.233
RTT 1790361961.774 0.196
RTT 1790361962.027 3.178
RTT 1790361962.274 0.212
RTT 1790361962.525 0.305
RTT 1790361962.775 0.314
RTT 1790361963.025 0.156
RTT 1790361963.276 0.143
RTT 1790361963.526 0.274
RTT 1790361963.777 0.341
RTT 1790361964.027 0.216
RTT 1790361964.278 1.071
RTT 1790361964.527 0.042
RTT 1790361964.777 0.332
RTT 1790361965.027 0.211
RTT 1790361965.277 0.155
RTT 1790361965.527 0.150
RTT 1790361965.778 0.205
RTT 1790361966.030 2.521
RTT 1790361966.278 0.115
RTT 1790361966.528 0.135
RTT 1790361966.779 0.374
RTT 1790361967.030 1.852
RTT 1790361967.279 0.216
RTT 1790361967.529 0.445
RTT 1790361967.780 0.498
RTT 1790361968.032 2.714
RTT 1790361968.280 0.169
RTT 1790361968.530 0.181
RTT 1790361968.780 0.198
RTT 1790361969.032 1.590
RTT 1790361969.281 0.132
RTT 1790361969.531 0.358
RTT 1790361969.781 0.106
RTT 1790361970.036 4.433
RTT 1790361970.282 0.328
RTT 1790361970.534 0.097
RTT 1790361970.784 0.058
RTT 1790361971.040 6.494
RTT 1790361971.284 0.284
RTT 1790361971.534 0.194
RTT 1790361971.784 0.132
RTT 1790361972.036 1.565
RTT 1790361972.285 0.380
RTT 1790361972.535 0.154
RTT 1790361972.786 0.345
RTT 1790361973.038 2.906
RTT 1790361973.288 0.139
RTT 1790361973.538 0.146
RTT 1790361973.788 0.358
RTT 1790361974.044 5.857
RTT 1790361974.288 0.084
RTT 1790361974.539 0.342
RTT 1790361974.789 0.304
RTT 1790361975.040 1.321
RTT 1790361975.290 0.385
RTT 1790361975.540 0.145
RTT 1790361975.790 0.290
RTT 1790361976.044 4.170
RTT 1790361976.290 0.112
RTT 1790361976.542 0.121
RTT 1790361976.793 0.341
RTT 1790361977.043 0.106
RTT 1790361977.293 0.154
RTT 1790361977.543 0.188
RTT 1790361977.793 0.153
RTT 1790361978.046 3.096
RTT 1790361978.294 0.994
RTT 1790361978.544 0.155
RTT 1790361978.794 0.075
RTT 1790361979.049 4.848
RTT 1790361979.295 0.305
RTT 1790361979.546 0.160
RTT 1790361979.796 0.092
RTT 1790361980.048 1.418
RTT 1790361980.297 0.123
RTT 1790361980.549 0.416
RTT 1790361980.801 1.434
RTT 1790361981.049 0.232
RTT 1790361981.300 0.407
RTT 1790361981.550 0.344
RTT 1790361981.807 7.129
RTT 1790361982.050 0.190
RTT 1790361982.305 4.631
RTT 1790361982.551 0.153
RTT 1790361982.802 1.215
RTT 1790361983.051 0.145
RTT 1790361983.301 0.299
RTT 1790361983.553 1.806
RTT 1790361983.801 0.082
RTT 1790361984.052 0.083
RTT 1790361984.305 3.702
RTT 1790361984.555 3.680
RTT 1790361984.802 0.158
RTT 1790361985.055 0.361
RTT 1790361985.305 0.114
RTT 1790361985.559 2.930
RTT 1790361985.808 2.421
RTT 1790361986.059 0.414
RTT 1790361986.316 7.344
RTT 1790361986.559 0.358
RTT 1790361986.809 0.376
RTT 1790361987.059 0.076
RTT 1790361987.310 0.149
RTT 1790361987.560 0.578
RTT 1790361987.810 0.281
RTT 1790361988.061 0.311
RTT 1790361988.311 0.049
RTT 1790361988.561 0.087
RTT 1790361988.811 0.112
RTT 1790361989.061 0.173
RTT 1790361989.311 0.162
RTT 1790361989.563 1.703
RTT 1790361989.812 0.246
RTT 1790361990.062 0.332
RTT 1790361990.312 0.075
RTT 1790361990.565 2.711
RTT 1790361990.813 0.362
RTT 1790361991.063 0.316
