TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360417.788 2.121
RTT 1790360418.036 0.078
RTT 1790360418.287 0.214
RTT 1790360418.538 1.164
RTT 1790360418.789 2.782
RTT 1790360419.040 3.242
RTT 1790360419.287 0.086
RTT 1790360419.539 2.002
RTT 1790360419.787 0.062
RTT 1790360420.038 0.437
RTT 1790360420.288 0.371
RTT 1790360420.540 2.176
RTT 1790360420.790 1.965
RTT 1790360421.042 3.825
RTT 1790360421.288 0.149
RTT 1790360421.540 1.983
RTT 1790360421.792 3.708
RTT 1790360422.039 0.186
RTT 1790360422.289 0.187
RTT 1790360422.544 5.109
RTT 1790360422.790 1.380
RTT 1790360423.044 4.785
RTT 1790360423.290 0.170
RTT 1790360423.544 4.832
RTT 1790360423.794 4.692
RTT 1790360424.040 0.236
RTT 1790360424.290 0.112
RTT 1790360424.540 0.127
RTT 1790360424.794 3.496
RTT 1790360425.042 1.998
RTT 1790360425.291 0.343
RTT 1790360425.542 1.212
RTT 1790360425.793 1.546
RTT 1790360426.041 0.124
RTT 1790360426.292 0.634
RTT 1790360426.545 3.509
RTT 1790360426.797 5.238
RTT 1790360427.048 6.107
RTT 1790360427.294 0.098
RTT 1790360427.548 3.780
RTT 1790360427.796 1.909
RTT 1790360428.045 0.249
RTT 1790360428.295 0.070
RTT 1790360428.549 4.108
RTT 1790360428.795 0.081
RTT 1790360429.047 2.046
RTT 1790360429.300 4.395
RTT 1790360429.547 1.234
RTT 1790360429.796 0.251
RTT 1790360430.046 0.061
RTT 1790360430.301 4.762
RTT 1790360430.548 2.252
RTT 1790360430.796 0.080
RTT 1790360431.048 1.319
RTT 1790360431.298 1.821
RTT 1790360431.549 2.200
RTT 1790360431.799 1.998
RTT 1790360432.047 0.377
RTT 1790360432.301 3.375
RTT 1790360432.549 1.530
RTT 1790360432.798 0.187
RTT 1790360433.051 3.607
RTT 1790360433.300 2.320
RTT 1790360433.552 3.785
RTT 1790360433.798 0.138
RTT 1790360434.048 0.092
RTT 1790360434.300 1.912
RTT 1790360434.550 2.076
RTT 1790360434.799 0.149
RTT 1790360435.049 0.819
RTT 1790360435.304 5.221
RTT 1790360435.549 0.074
RTT 1790360435.799 0.145
RTT 1790360436.049 0.150
RTT 1790360436.304 4.651
RTT 1790360436.552 2.444
RTT 1790360436.800 0.277
RTT 1790360437.052 2.202
RTT 1790360437.300 0.186
RTT 1790360437.550 0.098
RTT 1790360437.801 0.259
RTT 1790360438.056 5.576
RTT 1790360438.303 2.837
RTT 1790360438.551 0.115
RTT 1790360438.801 0.187
RTT 1790360439.060 8.377
RTT 1790360439.304 2.883
RTT 1790360439.552 0.563
RTT 1790360439.802 0.329
RTT 1790360440.056 3.679
RTT 1790360440.303 1.105
RTT 1790360440.553 0.131
RTT 1790360440.803 0.366
RTT 1790360441.060 7.028
RTT 1790360441.304 0.575
RTT 1790360441.553 0.182
RTT 1790360441.804 0.236
