TRACER 0
RTT 1790355049.050 0.048
RTT 1790355049.300 0.108
RTT 1790355049.551 0.128
RTT 1790355049.801 0.198
RTT 1790355050.051 0.063
RTT 1790355050.302 1.013
RTT 1790355050.551 0.289
RTT 1790355050.801 0.249
RTT 1790355051.051 0.140
RTT 1790355051.304 0.093
RTT 1790355051.554 0.108
RTT 1790355051.804 0.165
RTT 1790355052.054 0.150
RTT 1790355052.305 0.110
RTT 1790355052.555 0.112
RTT 1790355052.805 0.140
RTT 1790355053.055 0.163
RTT 1790355053.306 0.174
RTT 1790355053.556 0.132
RTT 1790355053.806 0.113
RTT 1790355054.057 0.384
RTT 1790355054.307 0.343
RTT 1790355054.557 0.132
RTT 1790355054.807 0.104
RTT 1790355055.057 0.071
RTT 1790355055.307 0.243
RTT 1790355055.558 0.178
RTT 1790355055.808 0.179
RTT 1790355056.058 0.310
RTT 1790355056.309 0.493
RTT 1790355056.559 0.276
RTT 1790355056.809 0.134
RTT 1790355057.059 0.142
RTT 1790355057.309 0.234
RTT 1790355057.560 0.190
RTT 1790355057.810 0.212
RTT 1790355058.060 0.193
RTT 1790355058.311 0.219
RTT 1790355058.563 2.366
RTT 1790355058.813 2.260
RTT 1790355059.061 0.132
RTT 1790355059.312 0.582
RTT 1790355059.562 0.360
RTT 1790355059.812 0.175
RTT 1790355060.062 0.157
RTT 1790355060.313 0.195
RTT 1790355060.563 0.082
RTT 1790355060.813 0.217
RTT 1790355061.063 0.196
RTT 1790355061.314 0.232
RTT 1790355061.564 0.512
RTT 1790355061.815 0.831
RTT 1790355062.065 0.608
RTT 1790355062.314 0.154
RTT 1790355062.564 0.135
RTT 1790355062.815 0.138
RTT 1790355063.066 1.091
RTT 1790355063.315 0.277
RTT 1790355063.565 0.165
RTT 1790355063.816 0.276
RTT 1790355064.066 0.370
RTT 1790355064.316 0.592
RTT 1790355064.566 0.151
RTT 1790355064.816 0.142
RTT 1790355065.067 0.171
RTT 1790355065.317 0.159
RTT 1790355065.567 0.143
RTT 1790355065.817 0.179
RTT 1790355066.068 0.273
RTT 1790355066.318 0.370
RTT 1790355066.568 0.167
RTT 1790355066.819 0.216
RTT 1790355067.069 0.176
RTT 1790355067.319 0.102
RTT 1790355067.570 0.157
RTT 1790355067.820 0.181
RTT 1790355068.070 0.161
RTT 1790355068.320 0.186
RTT 1790355068.570 0.121
RTT 1790355068.821 0.163
RTT 1790355069.071 0.157
RTT 1790355069.322 0.352
