# mem-guard start x3=28837 floor_mb=3000 swap_growth_mb=1536 x3_max_mb=3072 swap_used0_mb=4063
1790212408.494169395 mem_available_mb=6243 swap_used_mb=4063 x3_rss_mb=164 x3_swap_mb=0
1790212409.078299186 mem_available_mb=6196 swap_used_mb=4055 x3_rss_mb=224 x3_swap_mb=0
1790212409.610991113 mem_available_mb=6150 swap_used_mb=4054 x3_rss_mb=224 x3_swap_mb=0
1790212410.150495592 mem_available_mb=6061 swap_used_mb=4054 x3_rss_mb=224 x3_swap_mb=0
1790212410.690094863 mem_available_mb=6069 swap_used_mb=4054 x3_rss_mb=224 x3_swap_mb=0
1790212411.222658925 mem_available_mb=6055 swap_used_mb=4053 x3_rss_mb=224 x3_swap_mb=0
1790212411.758400175 mem_available_mb=6108 swap_used_mb=4053 x3_rss_mb=224 x3_swap_mb=0
1790212412.293784758 mem_available_mb=6128 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212412.826748768 mem_available_mb=6118 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212413.367928716 mem_available_mb=6125 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212413.903980018 mem_available_mb=6119 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212414.444205747 mem_available_mb=6124 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212414.987419132 mem_available_mb=6121 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212415.515746684 mem_available_mb=6119 swap_used_mb=4030 x3_rss_mb=224 x3_swap_mb=0
1790212416.045117777 mem_available_mb=6186 swap_used_mb=4030 x3_rss_mb=215 x3_swap_mb=0
1790212416.573113402 mem_available_mb=6171 swap_used_mb=4030 x3_rss_mb=215 x3_swap_mb=0
1790212417.101833454 mem_available_mb=6201 swap_used_mb=4030 x3_rss_mb=218 x3_swap_mb=0
1790212417.628102256 mem_available_mb=6143 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212418.157707776 mem_available_mb=6147 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212418.692838089 mem_available_mb=6146 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212419.223663818 mem_available_mb=6224 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212419.753546369 mem_available_mb=6216 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212420.285624651 mem_available_mb=6215 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212420.815878557 mem_available_mb=6214 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212421.345882358 mem_available_mb=6221 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212421.875437150 mem_available_mb=6220 swap_used_mb=4029 x3_rss_mb=218 x3_swap_mb=0
1790212422.404000483 mem_available_mb=6228 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212422.933817722 mem_available_mb=6228 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212423.460411160 mem_available_mb=6223 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212423.988967305 mem_available_mb=6224 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212424.513847826 mem_available_mb=6222 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212425.040225795 mem_available_mb=6221 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212425.564695378 mem_available_mb=6220 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212426.091504075 mem_available_mb=6218 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212426.617480481 mem_available_mb=6217 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212427.142591627 mem_available_mb=6224 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212427.667038294 mem_available_mb=6224 swap_used_mb=4025 x3_rss_mb=218 x3_swap_mb=0
1790212428.193911783 mem_available_mb=6225 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212428.719941418 mem_available_mb=6226 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212429.247208397 mem_available_mb=6228 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212429.773271574 mem_available_mb=6284 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212430.305233397 mem_available_mb=6277 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212430.847094594 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212431.392265428 mem_available_mb=6277 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212431.929593761 mem_available_mb=6277 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212432.468647615 mem_available_mb=6282 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212433.022769021 mem_available_mb=6281 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212433.563247823 mem_available_mb=6284 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212434.128575426 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212434.675764124 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212435.217296311 mem_available_mb=6275 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212435.761096155 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212436.305520999 mem_available_mb=6275 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212436.841515165 mem_available_mb=6274 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212437.393954488 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212437.948715373 mem_available_mb=6276 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212438.489443966 mem_available_mb=6279 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212439.039165268 mem_available_mb=6275 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212439.597135164 mem_available_mb=6267 swap_used_mb=4024 x3_rss_mb=217 x3_swap_mb=0
1790212440.124094591 mem_available_mb=6268 swap_used_mb=4024 x3_rss_mb=216 x3_swap_mb=0
1790212440.668435372 mem_available_mb=6232 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212441.215718757 mem_available_mb=6236 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212441.746974747 mem_available_mb=6263 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212442.272810163 mem_available_mb=6267 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212442.809443600 mem_available_mb=6263 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212443.342424902 mem_available_mb=6262 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212443.878095787 mem_available_mb=6260 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212444.411495735 mem_available_mb=6257 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212444.943470943 mem_available_mb=6257 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212445.475400787 mem_available_mb=6256 swap_used_mb=4024 x3_rss_mb=218 x3_swap_mb=0
1790212446.005186203 mem_available_mb=6300 swap_used_mb=4024 x3_rss_mb=216 x3_swap_mb=0
# mem-guard end: x3 28837 gone
