TRACER 29525
RTT 1790361976.893 0.199
RTT 1790361977.152 8.763
RTT 1790361977.394 0.147
RTT 1790361977.644 0.457
RTT 1790361977.894 0.083
RTT 1790361978.144 0.127
RTT 1790361978.394 0.100
RTT 1790361978.645 0.390
RTT 1790361978.895 0.198
RTT 1790361979.148 3.027
RTT 1790361979.396 1.111
RTT 1790361979.645 0.132
RTT 1790361979.896 0.306
RTT 1790361980.150 4.101
RTT 1790361980.396 0.123
RTT 1790361980.646 0.158
RTT 1790361980.901 4.721
RTT 1790361981.147 0.396
RTT 1790361981.397 0.364
RTT 1790361981.647 0.276
RTT 1790361981.897 0.056
RTT 1790361982.152 4.952
RTT 1790361982.399 0.138
RTT 1790361982.649 0.079
RTT 1790361982.901 1.707
RTT 1790361983.150 0.152
RTT 1790361983.400 0.192
RTT 1790361983.650 0.115
RTT 1790361983.904 3.720
RTT 1790361984.152 1.453
RTT 1790361984.403 0.364
RTT 1790361984.653 0.088
RTT 1790361984.908 4.919
RTT 1790361985.153 0.196
RTT 1790361985.406 0.136
RTT 1790361985.656 0.067
RTT 1790361985.916 10.402
RTT 1790361986.164 8.270
RTT 1790361986.409 0.354
RTT 1790361986.659 0.956
RTT 1790361986.909 0.298
RTT 1790361987.159 0.110
RTT 1790361987.409 0.513
RTT 1790361987.670 10.908
RTT 1790361987.910 0.381
RTT 1790361988.160 0.147
RTT 1790361988.412 0.324
RTT 1790361988.662 0.266
RTT 1790361988.913 0.556
RTT 1790361989.163 0.287
RTT 1790361989.413 0.088
RTT 1790361989.667 4.167
RTT 1790361989.914 0.878
RTT 1790361990.164 0.242
RTT 1790361990.414 0.078
RTT 1790361990.667 3.638
RTT 1790361990.914 0.300
RTT 1790361991.165 0.292
RTT 1790361991.417 2.599
RTT 1790361991.667 2.777
RTT 1790361991.917 0.198
RTT 1790361992.172 4.909
RTT 1790361992.419 0.128
RTT 1790361992.674 4.695
RTT 1790361992.920 0.174
RTT 1790361993.170 0.333
RTT 1790361993.424 3.834
RTT 1790361993.671 0.222
RTT 1790361993.921 0.058
RTT 1790361994.176 5.402
RTT 1790361994.423 1.936
RTT 1790361994.673 0.404
RTT 1790361994.923 0.127
RTT 1790361995.174 0.630
RTT 1790361995.424 0.118
RTT 1790361995.674 0.185
RTT 1790361995.927 2.676
RTT 1790361996.177 2.518
RTT 1790361996.425 0.321
RTT 1790361996.675 0.335
RTT 1790361996.930 4.853
RTT 1790361997.175 0.509
RTT 1790361997.426 0.370
RTT 1790361997.676 0.242
RTT 1790361997.926 0.072
RTT 1790361998.180 4.600
RTT 1790361998.426 0.100
RTT 1790361998.679 0.208
RTT 1790361998.929 0.159
RTT 1790361999.180 0.194
RTT 1790361999.430 0.345
RTT 1790361999.683 3.487
RTT 1790361999.935 5.451
RTT 1790362000.181 1.010
RTT 1790362000.432 0.098
RTT 1790362000.684 2.029
RTT 1790362000.933 0.135
RTT 1790362001.183 0.302
RTT 1790362001.433 0.198
RTT 1790362001.689 6.417
RTT 1790362001.933 0.202
RTT 1790362002.185 1.649
RTT 1790362002.438 4.444
RTT 1790362002.684 0.160
RTT 1790362002.934 0.271
RTT 1790362003.184 0.063
RTT 1790362003.434 0.152
RTT 1790362003.696 11.832
RTT 1790362003.936 1.942
RTT 1790362004.186 1.612
RTT 1790362004.448 11.302
RTT 1790362004.687 0.071
RTT 1790362004.937 0.078
RTT 1790362005.188 0.376
RTT 1790362005.441 3.495
RTT 1790362005.688 0.966
RTT 1790362005.938 0.083
RTT 1790362006.188 0.089
RTT 1790362006.439 0.428
RTT 1790362006.690 0.341
RTT 1790362006.939 0.087
RTT 1790362007.190 0.084
RTT 1790362007.440 0.284
RTT 1790362007.690 0.140
RTT 1790362007.940 0.230
RTT 1790362008.193 2.165
RTT 1790362008.441 0.123
RTT 1790362008.693 0.225
RTT 1790362008.943 0.074
RTT 1790362009.194 0.592
RTT 1790362009.448 4.426
RTT 1790362009.694 0.427
RTT 1790362009.944 0.228
RTT 1790362010.194 0.163
RTT 1790362010.445 0.382
RTT 1790362010.695 0.236
RTT 1790362010.945 0.172
RTT 1790362011.195 0.073
RTT 1790362011.452 6.778
RTT 1790362011.696 0.118
RTT 1790362011.946 0.182
RTT 1790362012.196 0.054
RTT 1790362012.452 6.211
RTT 1790362012.696 0.178
RTT 1790362012.946 0.160
RTT 1790362013.202 5.789
RTT 1790362013.447 0.166
RTT 1790362013.697 0.072
RTT 1790362013.947 0.327
RTT 1790362014.197 0.077
RTT 1790362014.451 4.523
RTT 1790362014.697 0.169
RTT 1790362014.948 0.253
RTT 1790362015.210 12.103
RTT 1790362015.448 0.239
RTT 1790362015.698 0.065
RTT 1790362015.948 0.348
RTT 1790362016.207 9.062
RTT 1790362016.449 0.484
RTT 1790362016.699 0.145
RTT 1790362016.949 0.174
RTT 1790362017.209 9.893
RTT 1790362017.449 0.146
RTT 1790362017.702 0.360
RTT 1790362017.952 0.100
RTT 1790362018.205 2.708
RTT 1790362018.452 0.081
RTT 1790362018.703 0.789
RTT 1790362018.953 0.181
RTT 1790362019.208 4.778
RTT 1790362019.453 0.128
RTT 1790362019.704 0.168
RTT 1790362019.954 0.178
RTT 1790362020.209 5.350
RTT 1790362020.454 0.061
RTT 1790362020.704 0.069
RTT 1790362020.954 0.265
RTT 1790362021.212 7.366
RTT 1790362021.455 0.184
RTT 1790362021.705 0.326
RTT 1790362021.955 0.074
RTT 1790362022.216 10.966
RTT 1790362022.456 0.390
RTT 1790362022.706 0.088
RTT 1790362022.956 0.214
RTT 1790362023.209 2.865
RTT 1790362023.456 0.272
RTT 1790362023.707 0.513
RTT 1790362023.959 2.636
RTT 1790362024.207 0.148
RTT 1790362024.459 0.124
RTT 1790362024.709 0.174
RTT 1790362024.960 0.666
RTT 1790362025.209 0.154
RTT 1790362025.462 0.102
RTT 1790362025.712 0.065
RTT 1790362025.968 4.447
RTT 1790362026.214 0.124
RTT 1790362026.464 0.085
RTT 1790362026.714 0.158
RTT 1790362026.968 3.589
RTT 1790362027.215 0.308
RTT 1790362027.467 0.131
RTT 1790362027.718 0.823
RTT 1790362027.967 0.159
RTT 1790362028.218 0.353
RTT 1790362028.468 0.456
RTT 1790362028.718 0.183
RTT 1790362028.972 3.500
RTT 1790362029.218 0.081
RTT 1790362029.469 0.215
RTT 1790362029.719 0.181
RTT 1790362029.972 2.902
RTT 1790362030.221 1.941
RTT 1790362030.470 0.304
RTT 1790362030.722 2.120
RTT 1790362030.972 2.294
RTT 1790362031.220 0.223
RTT 1790362031.470 0.090
RTT 1790362031.721 1.114
RTT 1790362031.971 0.157
RTT 1790362032.221 0.168
RTT 1790362032.471 0.079
RTT 1790362032.722 0.867
RTT 1790362032.971 0.114
RTT 1790362033.222 0.294
RTT 1790362033.472 0.267
RTT 1790362033.722 0.139
RTT 1790362033.974 0.107
RTT 1790362034.225 0.203
RTT 1790362034.482 7.769
RTT 1790362034.726 1.783
RTT 1790362034.975 0.075
RTT 1790362035.226 0.577
RTT 1790362035.480 4.704
RTT 1790362035.725 0.062
RTT 1790362035.976 0.195
RTT 1790362036.226 0.169
RTT 1790362036.479 3.020
RTT 1790362036.727 0.292
RTT 1790362036.979 0.252
RTT 1790362037.229 0.152
RTT 1790362037.480 0.937
RTT 1790362037.730 0.377
RTT 1790362037.980 0.316
RTT 1790362038.230 0.242
RTT 1790362038.484 3.613
RTT 1790362038.731 0.185
RTT 1790362038.981 0.199
RTT 1790362039.231 0.227
RTT 1790362039.486 5.137
RTT 1790362039.731 0.094
RTT 1790362039.982 0.205
RTT 1790362040.232 0.278
RTT 1790362040.487 4.843
RTT 1790362040.732 0.226
RTT 1790362040.983 0.159
RTT 1790362041.233 0.077
RTT 1790362041.488 5.149
RTT 1790362041.733 0.130
RTT 1790362041.983 0.180
RTT 1790362042.233 0.139
RTT 1790362042.488 4.546
RTT 1790362042.734 0.182
RTT 1790362042.984 0.233
RTT 1790362043.238 4.177
RTT 1790362043.488 3.345
RTT 1790362043.735 0.102
RTT 1790362043.985 0.179
RTT 1790362044.236 1.112
RTT 1790362044.485 0.228
RTT 1790362044.735 0.085
RTT 1790362044.986 0.330
RTT 1790362045.237 1.672
RTT 1790362045.486 0.215
RTT 1790362045.736 0.348
RTT 1790362045.986 0.134
RTT 1790362046.237 0.985
RTT 1790362046.487 0.170
RTT 1790362046.737 0.340
RTT 1790362046.987 0.077
RTT 1790362047.239 2.098
RTT 1790362047.488 0.241
RTT 1790362047.738 0.137
RTT 1790362047.989 1.352
RTT 1790362048.238 0.165
RTT 1790362048.488 0.131
RTT 1790362048.738 0.083
RTT 1790362048.996 7.338
RTT 1790362049.239 0.066
RTT 1790362049.489 0.177
RTT 1790362049.739 0.278
RTT 1790362049.992 2.993
RTT 1790362050.239 0.157
RTT 1790362050.490 0.151
RTT 1790362050.740 0.165
RTT 1790362050.993 3.402
RTT 1790362051.240 0.102
RTT 1790362051.490 0.322
RTT 1790362051.740 0.172
RTT 1790362051.991 0.152
RTT 1790362052.241 0.245
RTT 1790362052.491 0.062
RTT 1790362052.743 0.745
RTT 1790362052.997 4.304
RTT 1790362053.243 0.130
RTT 1790362053.496 0.732
RTT 1790362053.747 1.995
RTT 1790362053.995 0.111
RTT 1790362054.245 0.078
RTT 1790362054.496 0.240
RTT 1790362054.750 4.931
RTT 1790362054.996 0.164
RTT 1790362055.246 0.164
RTT 1790362055.496 0.068
RTT 1790362055.749 2.491
RTT 1790362055.997 0.581
RTT 1790362056.249 0.106
RTT 1790362056.499 0.179
RTT 1790362056.752 3.315
RTT 1790362056.999 0.204
RTT 1790362057.249 0.092
RTT 1790362057.499 0.078
RTT 1790362057.753 4.037
RTT 1790362058.000 0.064
RTT 1790362058.250 0.166
RTT 1790362058.500 0.061
RTT 1790362058.752 1.973
RTT 1790362059.000 0.052
RTT 1790362059.251 0.328
RTT 1790362059.501 0.355
RTT 1790362059.755 4.583
RTT 1790362060.001 0.086
RTT 1790362060.251 0.299
RTT 1790362060.502 0.216
RTT 1790362060.754 2.265
RTT 1790362061.002 0.178
RTT 1790362061.252 0.074
RTT 1790362061.503 1.422
RTT 1790362061.756 1.408
RTT 1790362062.005 0.187
RTT 1790362062.255 0.085
RTT 1790362062.506 1.240
RTT 1790362062.755 0.124
RTT 1790362063.006 0.148
RTT 1790362063.259 3.222
RTT 1790362063.506 0.098
RTT 1790362063.756 0.342
RTT 1790362064.006 0.074
RTT 1790362064.256 0.215
RTT 1790362064.506 0.235
RTT 1790362064.757 0.172
RTT 1790362065.008 0.265
RTT 1790362065.258 0.378
RTT 1790362065.508 0.140
RTT 1790362065.758 0.316
RTT 1790362066.008 0.070
RTT 1790362066.259 1.192
RTT 1790362066.510 0.575
RTT 1790362066.760 0.207
RTT 1790362067.012 2.389
RTT 1790362067.264 3.878
RTT 1790362067.510 0.127
RTT 1790362067.761 0.174
RTT 1790362068.011 0.129
RTT 1790362068.268 7.239
RTT 1790362068.511 0.131
RTT 1790362068.761 0.170
RTT 1790362069.011 0.053
RTT 1790362069.266 4.654
RTT 1790362069.516 4.323
RTT 1790362069.762 0.224
RTT 1790362070.012 0.179
RTT 1790362070.264 2.074
RTT 1790362070.512 0.338
RTT 1790362070.763 0.241
RTT 1790362071.018 5.681
RTT 1790362071.264 1.263
RTT 1790362071.513 0.207
RTT 1790362071.763 0.312
RTT 1790362072.017 3.339
RTT 1790362072.264 0.121
RTT 1790362072.514 0.179
RTT 1790362072.764 0.323
RTT 1790362073.017 3.151
RTT 1790362073.264 0.079
RTT 1790362073.515 0.201
RTT 1790362073.765 0.082
RTT 1790362074.020 4.452
RTT 1790362074.266 0.119
RTT 1790362074.518 2.493
RTT 1790362074.770 2.548
RTT 1790362075.019 0.915
RTT 1790362075.269 0.311
RTT 1790362075.519 0.242
RTT 1790362075.770 1.484
RTT 1790362076.019 0.102
RTT 1790362076.269 0.052
RTT 1790362076.523 3.911
RTT 1790362076.769 0.174
RTT 1790362077.023 3.554
RTT 1790362077.269 0.069
RTT 1790362077.524 3.951
RTT 1790362077.773 0.349
RTT 1790362078.027 4.130
RTT 1790362078.275 2.222
RTT 1790362078.523 0.072
RTT 1790362078.773 0.148
RTT 1790362079.028 4.771
RTT 1790362079.274 0.142
RTT 1790362079.524 0.271
RTT 1790362079.774 0.089
RTT 1790362080.025 1.268
RTT 1790362080.274 0.092
RTT 1790362080.524 0.074
RTT 1790362080.775 0.198
RTT 1790362081.027 2.810
RTT 1790362081.275 0.201
RTT 1790362081.525 0.150
RTT 1790362081.775 0.079
RTT 1790362082.027 2.048
RTT 1790362082.277 0.130
RTT 1790362082.528 0.320
RTT 1790362082.780 2.186
RTT 1790362083.028 0.313
RTT 1790362083.278 0.330
RTT 1790362083.528 0.083
RTT 1790362083.780 2.025
RTT 1790362084.029 0.193
RTT 1790362084.279 0.183
RTT 1790362084.529 0.294
RTT 1790362084.782 2.490
RTT 1790362085.034 4.728
RTT 1790362085.280 0.375
RTT 1790362085.530 0.113
RTT 1790362085.783 3.084
RTT 1790362086.031 0.338
RTT 1790362086.281 0.115
RTT 1790362086.531 0.330
RTT 1790362086.783 1.934
RTT 1790362087.032 0.137
RTT 1790362087.282 0.213
RTT 1790362087.537 4.705
RTT 1790362087.782 0.100
RTT 1790362088.032 0.196
RTT 1790362088.283 0.075
RTT 1790362088.533 0.128
RTT 1790362088.788 5.198
RTT 1790362089.035 0.082
RTT 1790362089.285 0.186
RTT 1790362089.535 0.122
RTT 1790362089.785 0.080
RTT 1790362090.036 0.209
RTT 1790362090.286 0.204
RTT 1790362090.542 6.316
RTT 1790362090.786 0.255
RTT 1790362091.039 0.369
RTT 1790362091.291 2.484
RTT 1790362091.539 0.219
RTT 1790362091.789 0.154
RTT 1790362092.039 0.085
RTT 1790362092.291 1.917
RTT 1790362092.539 0.080
RTT 1790362092.790 0.145
RTT 1790362093.040 0.082
RTT 1790362093.290 0.224
RTT 1790362093.540 0.204
RTT 1790362093.790 0.234
RTT 1790362094.040 0.197
RTT 1790362094.293 2.231
RTT 1790362094.543 0.189
RTT 1790362094.794 0.352
RTT 1790362095.044 0.174
RTT 1790362095.294 0.185
RTT 1790362095.544 0.138
RTT 1790362095.794 0.332
RTT 1790362096.045 0.224
RTT 1790362096.295 0.211
RTT 1790362096.545 0.113
RTT 1790362096.795 0.340
RTT 1790362097.046 0.238
RTT 1790362097.296 0.092
RTT 1790362097.546 0.234
RTT 1790362097.796 0.074
RTT 1790362098.046 0.283
RTT 1790362098.297 0.279
RTT 1790362098.547 0.059
RTT 1790362098.797 0.227
RTT 1790362099.047 0.169
RTT 1790362099.297 0.172
RTT 1790362099.547 0.166
RTT 1790362099.798 0.237
RTT 1790362100.048 0.152
RTT 1790362100.298 0.144
RTT 1790362100.548 0.306
RTT 1790362100.798 0.067
RTT 1790362101.048 0.123
RTT 1790362101.298 0.075
RTT 1790362101.548 0.100
RTT 1790362101.799 0.147
RTT 1790362102.049 0.277
RTT 1790362102.299 0.078
