TRACER 27459
RTT 1790327945.690 0.038
RTT 1790327945.942 0.091
RTT 1790327946.192 0.106
RTT 1790327946.442 0.168
RTT 1790327946.693 0.283
RTT 1790327946.943 0.137
RTT 1790327947.193 0.145
RTT 1790327947.443 0.061
RTT 1790327947.693 0.107
RTT 1790327947.943 0.208
RTT 1790327948.193 0.080
RTT 1790327948.444 0.327
RTT 1790327948.694 0.175
RTT 1790327948.944 0.255
RTT 1790327949.194 0.407
RTT 1790327949.445 0.321
RTT 1790327949.695 0.164
RTT 1790327949.945 0.075
RTT 1790327950.195 0.340
RTT 1790327950.445 0.245
RTT 1790327950.695 0.182
RTT 1790327950.945 0.137
RTT 1790327951.196 0.346
RTT 1790327951.446 0.309
RTT 1790327951.696 0.344
RTT 1790327951.946 0.096
RTT 1790327952.197 0.340
RTT 1790327952.447 0.045
RTT 1790327952.697 0.053
RTT 1790327952.947 0.053
RTT 1790327953.197 0.061
RTT 1790327953.447 0.054
RTT 1790327953.697 0.102
RTT 1790327953.947 0.084
RTT 1790327954.197 0.062
RTT 1790327954.448 0.065
RTT 1790327954.698 0.061
RTT 1790327954.948 0.082
RTT 1790327955.198 0.041
RTT 1790327955.448 0.045
RTT 1790327955.698 0.064
RTT 1790327955.948 0.079
RTT 1790327956.198 0.068
RTT 1790327956.448 0.092
RTT 1790327956.699 0.075
RTT 1790327956.949 0.083
RTT 1790327957.199 0.053
RTT 1790327957.449 0.061
RTT 1790327957.699 0.074
RTT 1790327957.949 0.057
RTT 1790327958.201 2.299
RTT 1790327958.449 0.160
RTT 1790327958.700 0.163
RTT 1790327958.950 0.331
RTT 1790327959.200 0.086
RTT 1790327959.450 0.218
RTT 1790327959.700 0.103
RTT 1790327959.951 0.277
RTT 1790327960.201 0.075
RTT 1790327960.451 0.071
RTT 1790327960.701 0.309
RTT 1790327960.951 0.179
RTT 1790327961.202 0.439
RTT 1790327961.452 0.065
RTT 1790327961.702 0.141
RTT 1790327961.952 0.306
RTT 1790327962.202 0.085
RTT 1790327962.453 0.268
RTT 1790327962.703 0.371
RTT 1790327962.953 0.207
RTT 1790327963.203 0.087
RTT 1790327963.453 0.356
RTT 1790327963.704 0.339
RTT 1790327963.954 0.236
RTT 1790327964.204 0.100
RTT 1790327964.454 0.060
RTT 1790327964.704 0.166
RTT 1790327964.954 0.083
RTT 1790327965.205 0.227
RTT 1790327965.455 0.099
RTT 1790327965.705 0.317
RTT 1790327965.955 0.263
RTT 1790327966.205 0.287
RTT 1790327966.455 0.069
RTT 1790327966.706 0.289
RTT 1790327966.957 0.310
RTT 1790327967.206 0.082
RTT 1790327967.457 0.349
RTT 1790327967.707 0.327
RTT 1790327967.957 0.177
RTT 1790327968.207 0.166
RTT 1790327968.458 0.088
RTT 1790327968.708 0.095
RTT 1790327968.958 0.211
RTT 1790327969.208 0.133
RTT 1790327969.459 0.191
RTT 1790327969.709 0.068
RTT 1790327969.959 0.259
RTT 1790327970.209 0.131
RTT 1790327970.459 0.321
RTT 1790327970.709 0.172
RTT 1790327970.959 0.080
RTT 1790327971.210 0.174
RTT 1790327971.460 0.168
RTT 1790327971.710 0.172
RTT 1790327971.960 0.114
RTT 1790327972.210 0.200
RTT 1790327972.460 0.064
RTT 1790327972.711 0.302
RTT 1790327972.961 0.077
RTT 1790327973.211 0.063
RTT 1790327973.461 0.204
RTT 1790327973.712 0.298
RTT 1790327973.962 0.149
RTT 1790327974.212 0.335
RTT 1790327974.462 0.084
RTT 1790327974.712 0.149
RTT 1790327974.962 0.243
RTT 1790327975.212 0.137
RTT 1790327975.462 0.095
RTT 1790327975.713 0.083
RTT 1790327975.963 0.191
RTT 1790327976.213 0.290
RTT 1790327976.464 0.364
RTT 1790327976.713 0.072
RTT 1790327976.963 0.067
RTT 1790327977.214 0.075
RTT 1790327977.464 0.071
RTT 1790327977.714 0.058
RTT 1790327977.964 0.060
RTT 1790327978.214 0.058
RTT 1790327978.464 0.063
RTT 1790327978.714 0.098
RTT 1790327978.964 0.065
RTT 1790327979.214 0.059
RTT 1790327979.465 0.352
RTT 1790327979.715 0.280
RTT 1790327979.965 0.055
RTT 1790327980.215 0.070
RTT 1790327980.466 0.170
RTT 1790327980.716 0.321
RTT 1790327980.971 4.923
RTT 1790327981.216 0.054
RTT 1790327981.466 0.097
RTT 1790327981.717 0.204
RTT 1790327981.968 0.355
RTT 1790327982.218 0.426
RTT 1790327982.468 0.327
RTT 1790327982.718 0.224
RTT 1790327982.968 0.250
RTT 1790327983.221 2.898
RTT 1790327983.468 0.080
RTT 1790327983.719 0.287
RTT 1790327983.969 0.051
RTT 1790327984.225 6.686
RTT 1790327984.470 1.181
RTT 1790327984.719 0.159
RTT 1790327984.970 0.779
RTT 1790327985.220 0.258
RTT 1790327985.470 0.137
RTT 1790327985.720 0.190
RTT 1790327985.970 0.123
RTT 1790327986.223 3.204
RTT 1790327986.475 4.866
RTT 1790327986.720 0.065
RTT 1790327986.970 0.061
RTT 1790327987.226 3.878
RTT 1790327987.473 1.312
RTT 1790327987.722 0.056
RTT 1790327987.972 0.152
RTT 1790327988.223 0.298
RTT 1790327988.473 0.409
RTT 1790327988.723 0.529
RTT 1790327988.974 1.004
RTT 1790327989.223 0.066
RTT 1790327989.475 2.108
RTT 1790327989.725 1.655
RTT 1790327989.978 5.311
RTT 1790327990.224 0.754
RTT 1790327990.473 0.079
RTT 1790327990.728 4.753
RTT 1790327990.977 3.159
RTT 1790327991.227 3.185
RTT 1790327991.474 0.065
RTT 1790327991.726 1.887
RTT 1790327991.975 0.683
RTT 1790327992.225 0.486
RTT 1790327992.477 2.086
RTT 1790327992.729 3.909
RTT 1790327992.976 1.410
RTT 1790327993.225 0.102
RTT 1790327993.479 3.798
RTT 1790327993.729 3.601
RTT 1790327993.975 0.061
RTT 1790327994.227 1.142
RTT 1790327994.477 1.760
RTT 1790327994.726 0.250
RTT 1790327994.979 0.233
RTT 1790327995.232 3.553
RTT 1790327995.484 5.208
RTT 1790327995.729 0.358
RTT 1790327995.979 0.123
RTT 1790327996.231 2.189
RTT 1790327996.482 2.719
RTT 1790327996.730 0.218
RTT 1790327996.980 0.352
RTT 1790327997.231 1.443
RTT 1790327997.485 5.364
RTT 1790327997.730 0.213
RTT 1790327997.981 0.186
RTT 1790327998.231 0.190
RTT 1790327998.483 2.510
RTT 1790327998.731 0.097
RTT 1790327998.984 3.502
RTT 1790327999.234 3.132
RTT 1790327999.485 4.043
RTT 1790327999.731 0.164
RTT 1790327999.984 0.125
RTT 1790328000.234 0.078
RTT 1790328000.486 2.750
RTT 1790328000.734 0.088
RTT 1790328000.988 3.900
RTT 1790328001.240 5.787
RTT 1790328001.484 0.149
RTT 1790328001.735 0.269
RTT 1790328001.985 0.321
RTT 1790328002.239 4.098
RTT 1790328002.489 4.337
RTT 1790328002.736 0.153
RTT 1790328002.994 8.191
RTT 1790328003.240 4.333
RTT 1790328003.486 0.229
RTT 1790328003.736 0.310
RTT 1790328003.992 5.668
RTT 1790328004.238 1.715
RTT 1790328004.487 0.183
RTT 1790328004.737 0.067
RTT 1790328004.996 9.257
RTT 1790328005.241 4.393
RTT 1790328005.487 0.096
RTT 1790328005.741 3.836
RTT 1790328005.992 4.291
RTT 1790328006.238 0.108
RTT 1790328006.489 0.146
RTT 1790328006.739 0.291
RTT 1790328006.990 1.043
RTT 1790328007.240 1.144
RTT 1790328007.489 0.121
RTT 1790328007.742 0.253
RTT 1790328007.995 3.632
RTT 1790328008.244 2.406
RTT 1790328008.492 0.356
RTT 1790328008.742 0.067
RTT 1790328009.006 14.440
RTT 1790328009.246 3.686
RTT 1790328009.495 3.171
RTT 1790328009.742 0.091
RTT 1790328009.997 4.500
RTT 1790328010.246 3.420
RTT 1790328010.497 4.622
RTT 1790328010.743 0.103
RTT 1790328010.997 4.678
RTT 1790328011.247 4.437
RTT 1790328011.497 3.845
RTT 1790328011.747 4.206
RTT 1790328011.997 3.587
RTT 1790328012.248 4.382
RTT 1790328012.495 1.686
RTT 1790328012.744 0.165
RTT 1790328012.996 2.123
RTT 1790328013.244 0.637
RTT 1790328013.495 1.442
RTT 1790328013.744 0.374
RTT 1790328013.995 1.191
RTT 1790328014.244 0.220
RTT 1790328014.496 1.551
RTT 1790328014.745 0.177
RTT 1790328014.995 0.425
RTT 1790328015.246 0.938
RTT 1790328015.495 0.453
RTT 1790328015.745 0.094
RTT 1790328015.995 0.043
RTT 1790328016.246 0.422
RTT 1790328016.496 0.048
RTT 1790328016.749 3.211
RTT 1790328016.996 0.722
RTT 1790328017.246 0.235
RTT 1790328017.501 5.131
RTT 1790328017.751 5.312
RTT 1790328017.996 0.242
RTT 1790328018.248 1.607
RTT 1790328018.501 4.351
RTT 1790328018.749 2.354
RTT 1790328019.000 3.750
RTT 1790328019.251 4.276
RTT 1790328019.501 4.160
RTT 1790328019.750 3.106
RTT 1790328020.002 5.128
RTT 1790328020.247 0.057
RTT 1790328020.499 1.802
RTT 1790328020.751 3.800
RTT 1790328021.003 6.039
RTT 1790328021.250 2.801
RTT 1790328021.498 0.487
RTT 1790328021.752 4.306
RTT 1790328022.001 3.435
RTT 1790328022.248 0.087
RTT 1790328022.502 4.107
RTT 1790328022.748 0.108
RTT 1790328023.000 2.039
RTT 1790328023.250 1.928
RTT 1790328023.505 6.658
RTT 1790328023.757 8.138
RTT 1790328024.004 5.729
RTT 1790328024.257 8.426
RTT 1790328024.500 1.166
RTT 1790328024.753 4.259
RTT 1790328025.002 2.927
RTT 1790328025.252 3.036
RTT 1790328025.502 3.062
RTT 1790328025.750 0.297
RTT 1790328026.000 0.358
RTT 1790328026.260 10.924
RTT 1790328026.514 14.770
RTT 1790328026.758 8.728
RTT 1790328027.009 9.061
RTT 1790328027.254 3.678
RTT 1790328027.504 3.579
RTT 1790328027.753 2.571
RTT 1790328028.002 1.502
RTT 1790328028.251 0.403
RTT 1790328028.501 0.059
RTT 1790328028.752 1.040
RTT 1790328029.002 1.328
RTT 1790328029.251 0.057
RTT 1790328029.501 0.155
RTT 1790328029.753 2.128
RTT 1790328030.005 3.597
RTT 1790328030.251 0.068
RTT 1790328030.502 0.177
