# evidence replay 2026-09-24T14:14:33+08:00: exact-line count of
# ^EXA bug: pPixmap->devPrivate\.ptr was 0x[0-9a-f]+, but should have been NULL\.$
# columns: count  sha256(log)[:16]  frozen-sha256sums-match  path
   534  27bf3255125f62b6  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/oracle-g-s11-01/x3-launcher.log
   469  d85073bc4c6b183f  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/oracle-g-s12-01/x3-launcher.log
   362  766e25d8843f339f  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/oracle-ga-s11-01/x3-launcher.log
   319  a11e31406cecc5bc  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/oracle-ga-s12-01/x3-launcher.log
     3  0ec05c5c10763df0  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/probe-g-01/x3-launcher.log
     0  1d14c02f7113450d  MATCH        ./gate-a-a1/p2-pga-rca/runtime-d1c86dd/probe-ga-01/x3-launcher.log
     4  ed62976575418a79  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-bench-01/x3-launcher.log
     4  a278611273533e31  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-bench-02/x3-launcher.log
     4  ba830eb82ab8da70  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-bench2-01/x3-launcher.log
     4  6871152914950956  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-bench2-02/x3-launcher.log
     5  e23a2e862fc55244  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-feas-g-01/x3-launcher.log
     6  2bfca428af9cf1a3  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241-gl/gl-feas-g-02/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-c-s11-01/x3-launcher.log
     0  e3b0c44298fc1c14  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-c-s12-01/x3-launcher.log
   534  5bf77d264cca1682  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-g-s11-01/x3-launcher.log
   469  110e06e77bcb2a9e  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-g-s12-01/x3-launcher.log
   362  1b686973320d6ffb  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-ga-s11-01/x3-launcher.log
   319  9e44d94afea40a25  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/oracle-ga-s12-01/x3-launcher.log
     1  936abd4b211998c8  MATCH        ./gate-a-a1/p2-pga-rca/runtime-f592241/probe-g-01/x3-launcher.log
  2714  592abc3eb292b165  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/r1-proto0-oracle/x3-launcher.raw.log
  2714  e34be3f41a16cb55  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/r1-unset-oracle/x3-launcher.raw.log
     1  e9ba26530bd8f094  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/r2-imported-reject/x3-launcher.raw.log
     0  80e629bc0686fbfd  no-manifest  ./gate-a-a1/p2-r1-diag-runtime/r3-single-direct/x3-launcher.raw.log
