TRACER 0
RTT 1790328634.168 0.054
RTT 1790328634.418 0.100
RTT 1790328634.668 0.192
RTT 1790328634.918 0.201
RTT 1790328635.169 0.127
RTT 1790328635.419 0.184
RTT 1790328635.669 0.153
RTT 1790328635.919 0.316
RTT 1790328636.169 0.157
RTT 1790328636.419 0.119
RTT 1790328636.670 0.229
RTT 1790328636.920 0.426
RTT 1790328637.170 0.300
RTT 1790328637.420 0.082
RTT 1790328637.670 0.083
RTT 1790328637.921 0.232
RTT 1790328638.171 0.280
RTT 1790328638.421 0.186
RTT 1790328638.671 0.092
RTT 1790328638.921 0.085
RTT 1790328639.172 0.209
RTT 1790328639.422 0.064
RTT 1790328639.672 0.224
RTT 1790328639.922 0.152
RTT 1790328640.172 0.135
RTT 1790328640.422 0.089
RTT 1790328640.673 0.177
RTT 1790328640.923 0.082
RTT 1790328641.173 0.165
RTT 1790328641.423 0.091
RTT 1790328641.673 0.069
RTT 1790328641.935 12.330
RTT 1790328642.173 0.067
RTT 1790328642.423 0.113
RTT 1790328642.673 0.061
RTT 1790328642.923 0.078
RTT 1790328643.174 0.072
RTT 1790328643.424 0.115
RTT 1790328643.674 0.151
RTT 1790328643.924 0.066
RTT 1790328644.174 0.121
RTT 1790328644.424 0.132
RTT 1790328644.674 0.234
RTT 1790328644.924 0.152
RTT 1790328645.174 0.119
RTT 1790328645.425 0.089
RTT 1790328645.675 0.062
RTT 1790328645.925 0.152
RTT 1790328646.175 0.186
RTT 1790328646.425 0.111
RTT 1790328646.676 0.250
RTT 1790328646.925 0.065
RTT 1790328647.176 0.078
RTT 1790328647.426 0.100
RTT 1790328647.676 0.344
RTT 1790328647.926 0.346
RTT 1790328648.176 0.183
RTT 1790328648.426 0.099
RTT 1790328648.677 0.171
RTT 1790328648.927 0.345
RTT 1790328649.180 0.380
RTT 1790328649.430 0.102
RTT 1790328649.680 0.094
RTT 1790328649.931 1.056
RTT 1790328650.181 0.135
RTT 1790328650.431 0.247
RTT 1790328650.682 0.771
RTT 1790328650.932 0.496
RTT 1790328651.182 0.176
RTT 1790328651.432 0.151
RTT 1790328651.682 0.174
RTT 1790328651.932 0.172
RTT 1790328652.182 0.199
RTT 1790328652.433 0.110
RTT 1790328652.683 0.136
RTT 1790328652.933 0.144
RTT 1790328653.183 0.168
RTT 1790328653.433 0.176
RTT 1790328653.684 0.115
RTT 1790328653.934 0.224
RTT 1790328654.184 0.074
RTT 1790328654.434 0.067
RTT 1790328654.685 0.188
RTT 1790328654.935 0.168
RTT 1790328655.186 0.184
RTT 1790328655.436 0.073
RTT 1790328655.687 1.292
RTT 1790328655.936 0.349
RTT 1790328656.186 0.288
RTT 1790328656.436 0.206
RTT 1790328656.686 0.113
RTT 1790328656.937 0.102
RTT 1790328657.187 0.325
RTT 1790328657.437 0.128
RTT 1790328657.687 0.142
RTT 1790328657.938 0.364
RTT 1790328658.188 0.165
RTT 1790328658.438 0.191
RTT 1790328658.688 0.246
RTT 1790328658.938 0.085
RTT 1790328659.188 0.181
RTT 1790328659.439 0.162
RTT 1790328659.689 0.111
RTT 1790328659.939 0.195
RTT 1790328660.189 0.291
RTT 1790328660.440 0.306
RTT 1790328660.690 0.096
RTT 1790328660.941 0.320
RTT 1790328661.191 0.099
RTT 1790328661.441 0.153
RTT 1790328661.691 0.174
RTT 1790328661.941 0.275
RTT 1790328662.191 0.102
RTT 1790328662.441 0.083
RTT 1790328662.692 0.178
RTT 1790328662.943 0.336
RTT 1790328663.193 0.360
RTT 1790328663.443 0.148
RTT 1790328663.693 0.323
RTT 1790328663.943 0.133
RTT 1790328664.194 0.279
RTT 1790328664.444 0.448
RTT 1790328664.694 0.105
RTT 1790328664.944 0.226
RTT 1790328665.194 0.100
RTT 1790328665.445 0.142
RTT 1790328665.695 0.119
RTT 1790328665.945 0.117
RTT 1790328666.195 0.132
RTT 1790328666.445 0.105
RTT 1790328666.695 0.060
RTT 1790328666.945 0.066
RTT 1790328667.196 0.143
RTT 1790328667.446 0.092
RTT 1790328667.696 0.086
RTT 1790328667.946 0.073
RTT 1790328668.196 0.138
RTT 1790328668.446 0.081
RTT 1790328668.696 0.173
RTT 1790328668.946 0.110
RTT 1790328669.198 0.182
RTT 1790328669.448 0.061
RTT 1790328669.698 0.072
RTT 1790328669.948 0.098
RTT 1790328670.199 0.391
RTT 1790328670.449 0.090
RTT 1790328670.699 0.351
RTT 1790328670.949 0.146
RTT 1790328671.199 0.222
RTT 1790328671.450 0.302
RTT 1790328671.700 0.310
RTT 1790328671.956 5.728
RTT 1790328672.201 0.337
RTT 1790328672.451 0.173
RTT 1790328672.701 0.295
RTT 1790328672.951 0.313
RTT 1790328673.201 0.131
RTT 1790328673.451 0.387
RTT 1790328673.712 10.338
RTT 1790328673.952 0.244
RTT 1790328674.202 0.173
RTT 1790328674.452 0.216
RTT 1790328674.702 0.091
RTT 1790328674.955 2.264
RTT 1790328675.204 1.612
RTT 1790328675.453 0.107
RTT 1790328675.704 0.322
RTT 1790328675.954 0.243
RTT 1790328676.204 0.229
RTT 1790328676.454 0.422
RTT 1790328676.705 0.926
RTT 1790328676.955 0.208
RTT 1790328677.205 0.112
RTT 1790328677.455 0.074
RTT 1790328677.708 3.182
RTT 1790328677.956 0.584
RTT 1790328678.223 17.209
RTT 1790328678.460 4.296
RTT 1790328678.708 0.244
RTT 1790328678.959 0.888
RTT 1790328679.213 4.585
RTT 1790328679.459 0.157
RTT 1790328679.709 0.200
RTT 1790328679.963 3.612
RTT 1790328680.211 1.944
RTT 1790328680.461 1.462
RTT 1790328680.710 0.210
RTT 1790328680.964 4.464
RTT 1790328681.215 4.839
RTT 1790328681.464 4.065
RTT 1790328681.710 0.115
RTT 1790328681.960 0.144
RTT 1790328682.211 0.163
RTT 1790328682.465 4.596
RTT 1790328682.716 5.576
RTT 1790328682.961 0.149
