TRACER 0
RTT 1790355394.406 0.047
RTT 1790355394.656 0.072
RTT 1790355394.907 0.158
RTT 1790355395.158 1.047
RTT 1790355395.412 5.216
RTT 1790355395.657 0.141
RTT 1790355395.907 0.094
RTT 1790355396.157 0.082
RTT 1790355396.408 0.209
RTT 1790355396.658 0.146
RTT 1790355396.908 0.140
RTT 1790355397.160 0.147
RTT 1790355397.410 0.129
RTT 1790355397.660 0.176
RTT 1790355397.910 0.130
RTT 1790355398.160 0.159
RTT 1790355398.411 0.183
RTT 1790355398.661 0.434
RTT 1790355398.911 0.146
RTT 1790355399.161 0.158
RTT 1790355399.411 0.241
RTT 1790355399.662 0.370
RTT 1790355399.912 0.157
RTT 1790355400.162 0.123
RTT 1790355400.412 0.160
RTT 1790355400.662 0.385
RTT 1790355400.912 0.087
RTT 1790355401.162 0.192
RTT 1790355401.412 0.085
RTT 1790355401.663 0.377
RTT 1790355401.913 0.123
RTT 1790355402.164 0.465
RTT 1790355402.415 0.355
RTT 1790355402.666 1.845
RTT 1790355402.915 0.208
RTT 1790355403.165 0.618
RTT 1790355403.417 1.802
RTT 1790355403.665 0.052
RTT 1790355403.915 0.146
RTT 1790355404.166 0.293
RTT 1790355404.416 0.147
RTT 1790355404.666 0.633
RTT 1790355404.916 0.209
RTT 1790355405.167 0.225
RTT 1790355405.417 0.375
RTT 1790355405.667 0.157
RTT 1790355405.917 0.200
RTT 1790355406.168 0.549
RTT 1790355406.419 0.162
RTT 1790355406.669 0.197
RTT 1790355406.919 0.329
RTT 1790355407.169 0.323
RTT 1790355407.419 0.238
RTT 1790355407.669 0.145
RTT 1790355407.920 0.086
RTT 1790355408.170 0.300
RTT 1790355408.420 0.327
RTT 1790355408.670 0.198
RTT 1790355408.920 0.265
RTT 1790355409.170 0.128
RTT 1790355409.421 0.143
RTT 1790355409.671 0.298
RTT 1790355409.922 0.320
RTT 1790355410.172 0.195
RTT 1790355410.422 0.069
RTT 1790355410.673 0.316
RTT 1790355410.923 0.292
RTT 1790355411.173 0.336
RTT 1790355411.423 0.348
RTT 1790355411.673 0.215
RTT 1790355411.924 0.274
RTT 1790355412.174 0.143
RTT 1790355412.424 0.154
RTT 1790355412.674 0.152
RTT 1790355412.924 0.182
RTT 1790355413.175 0.218
RTT 1790355413.425 0.307
RTT 1790355413.675 0.274
RTT 1790355413.925 0.136
RTT 1790355414.175 0.255
RTT 1790355414.426 0.383
RTT 1790355414.676 0.089
RTT 1790355414.926 0.211
RTT 1790355415.176 0.161
RTT 1790355415.427 0.356
RTT 1790355415.677 0.121
RTT 1790355415.927 0.192
RTT 1790355416.178 0.826
RTT 1790355416.428 1.227
RTT 1790355416.677 0.186
RTT 1790355416.927 0.133
RTT 1790355417.178 0.198
RTT 1790355417.428 0.196
RTT 1790355417.678 0.133
RTT 1790355417.929 0.335
RTT 1790355418.179 0.206
RTT 1790355418.430 0.867
RTT 1790355418.680 0.609
RTT 1790355418.929 0.195
RTT 1790355419.180 0.169
RTT 1790355419.430 0.066
RTT 1790355419.681 0.172
RTT 1790355419.932 0.174
RTT 1790355420.189 7.527
RTT 1790355420.432 0.234
RTT 1790355420.682 0.276
RTT 1790355420.933 0.337
RTT 1790355421.183 0.093
RTT 1790355421.433 0.068
RTT 1790355421.685 1.878
RTT 1790355421.933 0.136
RTT 1790355422.184 1.505
RTT 1790355422.433 0.133
RTT 1790355422.683 0.146
RTT 1790355422.934 0.343
RTT 1790355423.184 0.336
RTT 1790355423.434 0.312
RTT 1790355423.685 0.287
RTT 1790355423.935 0.272
RTT 1790355424.186 0.093
RTT 1790355424.437 0.188
RTT 1790355424.687 0.342
RTT 1790355424.937 0.205
RTT 1790355425.187 0.306
RTT 1790355425.437 0.228
RTT 1790355425.688 0.143
RTT 1790355425.938 0.145
RTT 1790355426.188 0.178
RTT 1790355426.438 0.190
RTT 1790355426.689 0.315
RTT 1790355426.939 0.332
RTT 1790355427.192 2.817
RTT 1790355427.439 0.163
RTT 1790355427.689 0.291
RTT 1790355427.939 0.141
RTT 1790355428.190 0.152
RTT 1790355428.440 0.178
RTT 1790355428.690 0.180
RTT 1790355428.941 0.170
RTT 1790355429.191 0.219
RTT 1790355429.441 0.065
RTT 1790355429.691 0.206
RTT 1790355429.941 0.118
RTT 1790355430.192 0.240
RTT 1790355430.442 0.136
RTT 1790355430.692 0.098
RTT 1790355430.942 0.163
RTT 1790355431.192 0.184
RTT 1790355431.442 0.157
RTT 1790355431.693 0.126
RTT 1790355431.943 0.311
RTT 1790355432.193 0.277
RTT 1790355432.443 0.230
RTT 1790355432.693 0.200
RTT 1790355432.943 0.081
RTT 1790355433.193 0.107
RTT 1790355433.444 0.102
RTT 1790355433.694 0.169
RTT 1790355433.945 0.296
RTT 1790355434.195 0.123
RTT 1790355434.445 0.069
RTT 1790355434.695 0.347
RTT 1790355434.946 0.709
RTT 1790355435.196 0.353
RTT 1790355435.447 0.559
RTT 1790355435.697 0.160
RTT 1790355435.947 0.136
RTT 1790355436.197 0.163
RTT 1790355436.447 0.163
RTT 1790355436.697 0.227
RTT 1790355436.947 0.176
RTT 1790355437.198 0.186
RTT 1790355437.448 0.108
RTT 1790355437.698 0.256
RTT 1790355437.948 0.063
RTT 1790355438.198 0.128
RTT 1790355438.449 0.234
RTT 1790355438.699 0.115
RTT 1790355438.949 0.190
RTT 1790355439.199 0.132
RTT 1790355439.450 0.178
RTT 1790355439.700 0.138
RTT 1790355439.950 0.155
RTT 1790355440.200 0.350
RTT 1790355440.450 0.117
RTT 1790355440.700 0.083
RTT 1790355440.951 0.146
RTT 1790355441.202 0.515
RTT 1790355441.452 0.417
RTT 1790355441.702 0.226
RTT 1790355441.952 0.169
RTT 1790355442.202 0.446
RTT 1790355442.453 1.227
RTT 1790355442.703 1.265
RTT 1790355442.953 1.054
RTT 1790355443.202 0.105
RTT 1790355443.453 0.869
RTT 1790355443.703 0.056
RTT 1790355443.953 0.478
RTT 1790355444.203 0.175
RTT 1790355444.454 0.392
RTT 1790355444.704 0.173
RTT 1790355444.954 0.186
RTT 1790355445.204 0.275
RTT 1790355445.454 0.145
RTT 1790355445.705 0.111
RTT 1790355445.955 0.123
RTT 1790355446.205 0.073
RTT 1790355446.455 0.128
RTT 1790355446.705 0.130
RTT 1790355446.956 0.339
RTT 1790355447.206 0.370
RTT 1790355447.456 0.360
RTT 1790355447.707 0.285
RTT 1790355447.957 0.358
RTT 1790355448.207 0.057
RTT 1790355448.457 0.144
RTT 1790355448.707 0.138
RTT 1790355448.959 1.841
RTT 1790355449.209 1.643
RTT 1790355449.458 1.164
RTT 1790355449.708 0.988
RTT 1790355449.958 0.494
RTT 1790355450.208 0.201
RTT 1790355450.459 0.340
RTT 1790355450.709 0.149
RTT 1790355450.959 0.378
RTT 1790355451.209 0.135
RTT 1790355451.459 0.131
RTT 1790355451.710 0.304
RTT 1790355451.960 0.192
RTT 1790355452.210 0.296
RTT 1790355452.460 0.258
RTT 1790355452.711 0.117
RTT 1790355452.962 0.921
RTT 1790355453.212 0.225
RTT 1790355453.462 0.353
RTT 1790355453.712 0.151
RTT 1790355453.963 0.265
RTT 1790355454.213 0.167
RTT 1790355454.463 0.162
RTT 1790355454.713 0.304
RTT 1790355454.963 0.071
RTT 1790355455.213 0.067
RTT 1790355455.464 0.066
RTT 1790355455.714 0.084
RTT 1790355455.965 0.347
RTT 1790355456.215 0.149
RTT 1790355456.465 0.078
RTT 1790355456.715 0.067
RTT 1790355456.965 0.074
RTT 1790355457.215 0.076
RTT 1790355457.466 0.124
RTT 1790355457.716 0.111
RTT 1790355457.966 0.087
RTT 1790355458.216 0.080
RTT 1790355458.466 0.047
RTT 1790355458.716 0.072
RTT 1790355458.966 0.077
RTT 1790355459.218 1.190
RTT 1790355459.468 0.079
RTT 1790355459.718 0.063
RTT 1790355459.970 0.079
RTT 1790355460.220 0.066
RTT 1790355460.470 0.063
RTT 1790355460.720 0.062
RTT 1790355460.971 0.053
RTT 1790355461.221 0.052
RTT 1790355461.471 0.088
RTT 1790355461.721 0.067
RTT 1790355461.971 0.086
RTT 1790355462.221 0.074
RTT 1790355462.471 0.075
RTT 1790355462.721 0.069
RTT 1790355462.971 0.112
RTT 1790355463.222 0.182
RTT 1790355463.472 0.054
RTT 1790355463.722 0.064
RTT 1790355463.972 0.059
RTT 1790355464.222 0.062
RTT 1790355464.472 0.072
