TRACER 29525
RTT_CONNECT_FAIL
RTT_RETRY attempt=1 rc=1
RTT 1790360156.448 7.045
RTT 1790360156.691 0.268
RTT 1790360156.942 0.168
RTT 1790360157.192 0.189
RTT 1790360157.448 5.991
RTT 1790360157.692 0.213
RTT 1790360157.942 0.075
RTT 1790360158.196 3.447
RTT 1790360158.447 4.780
RTT 1790360158.693 0.263
RTT 1790360158.943 0.221
RTT 1790360159.193 0.203
RTT 1790360159.449 6.142
RTT 1790360159.694 0.265
RTT 1790360159.945 0.338
RTT 1790360160.196 1.479
RTT 1790360160.447 2.523
RTT 1790360160.695 0.217
RTT 1790360160.946 0.344
RTT 1790360161.199 3.847
RTT 1790360161.446 0.064
RTT 1790360161.696 0.242
RTT 1790360161.946 0.164
RTT 1790360162.200 3.755
RTT 1790360162.446 0.078
RTT 1790360162.697 0.059
RTT 1790360162.949 2.290
RTT 1790360163.197 0.078
RTT 1790360163.447 0.314
RTT 1790360163.698 0.237
RTT 1790360163.948 0.130
RTT 1790360164.204 6.509
RTT 1790360164.448 0.157
RTT 1790360164.698 0.141
RTT 1790360164.952 4.165
RTT 1790360165.198 0.158
RTT 1790360165.449 0.297
RTT 1790360165.699 0.431
RTT 1790360165.950 1.377
RTT 1790360166.202 2.776
RTT 1790360166.452 0.393
RTT 1790360166.702 0.455
RTT 1790360166.956 3.859
RTT 1790360167.204 1.513
RTT 1790360167.453 0.316
RTT 1790360167.703 0.062
RTT 1790360167.953 0.432
RTT 1790360168.204 1.040
RTT 1790360168.454 0.322
RTT 1790360168.708 4.638
RTT 1790360168.954 0.359
RTT 1790360169.204 0.230
RTT 1790360169.454 0.057
RTT 1790360169.704 0.162
RTT 1790360169.957 0.215
RTT 1790360170.207 0.178
RTT 1790360170.467 8.618
RTT 1790360170.709 0.150
RTT 1790360170.960 0.318
RTT 1790360171.210 0.260
RTT 1790360171.460 0.483
RTT 1790360171.720 9.658
RTT 1790360171.960 0.291
RTT 1790360172.213 2.640
RTT 1790360172.463 2.363
RTT 1790360172.711 0.251
RTT 1790360172.961 0.078
RTT 1790360173.211 0.323
RTT 1790360173.465 4.081
RTT 1790360173.712 0.408
RTT 1790360173.962 0.060
RTT 1790360174.214 1.793
RTT 1790360174.466 2.103
RTT 1790360174.714 0.145
RTT 1790360174.964 0.088
RTT 1790360175.220 5.773
RTT 1790360175.466 1.355
RTT 1790360175.714 0.083
RTT 1790360175.967 0.240
RTT 1790360176.217 0.141
RTT 1790360176.472 5.339
RTT 1790360176.717 0.082
RTT 1790360176.968 0.267
RTT 1790360177.218 0.282
RTT 1790360177.471 2.781
RTT 1790360177.718 0.255
RTT 1790360177.968 0.110
RTT 1790360178.220 1.884
RTT 1790360178.473 4.228
RTT 1790360178.719 0.143
RTT 1790360178.969 0.341
RTT 1790360179.219 0.075
RTT 1790360179.473 3.175
RTT 1790360179.720 0.080
RTT 1790360179.970 0.288
RTT 1790360180.223 2.593
RTT 1790360180.470 0.085
RTT 1790360180.720 0.095
RTT 1790360180.971 0.138
RTT 1790360181.221 0.171
RTT 1790360181.472 0.872
RTT 1790360181.721 0.197
RTT 1790360181.972 0.337
RTT 1790360182.222 0.238
RTT 1790360182.474 1.618
RTT 1790360182.722 0.153
RTT 1790360182.973 0.169
RTT 1790360183.232 9.194
RTT 1790360183.473 0.061
RTT 1790360183.723 0.152
RTT 1790360183.973 0.070
RTT 1790360184.228 4.141
RTT 1790360184.476 2.338
RTT 1790360184.726 0.357
RTT 1790360184.977 0.258
RTT 1790360185.228 1.301
RTT 1790360185.477 0.823
RTT 1790360185.729 0.155
RTT 1790360185.979 0.076
RTT 1790360186.240 10.913
RTT 1790360186.480 0.212
RTT 1790360186.730 0.459
RTT 1790360186.980 0.204
